ID,Tipo,SKU,Nombre,Publicado,"Visibilidad en el catálogo","Día en que empieza el precio rebajado","Día en que termina el precio rebajado",Inventario,"Precio rebajado","Precio normal"
35503,simple,HC19AJ78,"FIJADOR CONTROL MATTE",1,visible,,,22,,20000
35513,variable,HC19AJ80,"POMADA DE CEJAS",1,visible,,,,,
35514,variation,HC19AJ81,"POMADA DE CEJAS - GBP361",0,visible,,,0,,25000
35515,variation,HC19AJ82,"POMADA DE CEJAS - GBP362",0,visible,,,0,,25000
35516,variation,HC19AJ83,"POMADA DE CEJAS - GBP363",1,visible,,,10,,25000
35517,variation,HC19AJ84,"POMADA DE CEJAS - GBP364",1,visible,,,11,,25000
35518,variation,HC19AJ85,"POMADA DE CEJAS - GBP365",1,visible,,,12,,25000
35519,variation,HC19AJ86,"POMADA DE CEJAS - GBP366",0,visible,,,0,,25000
35528,simple,HC19AJ87,"LAVABROCHAS EN SECO",'-1,visible,,,8,,15000
35538,variable,HC19AJ88,"COMBO PLANCHA + RIZADOR",'-1,visible,,,,,
35540,variation,HC19AJ89,"COMBO PLANCHA + RIZADOR - ROSA",1,visible,,,,,40000
35541,variation,HC19AJ90,"COMBO PLANCHA + RIZADOR - VERDE MENTA",1,visible,,,,,40000
35542,variation,HC19AJ91,"COMBO PLANCHA + RIZADOR - MORADO",1,visible,,,,,40000
35719,simple,HC19AJ92,"BROCHAS BH ROSE ROMANCE BH COSMETICS",1,visible,,,271,,50000
35724,simple,HC19AJ93,"BROCHAS BH CRYSTAL QUARTZ BH COSMETICS",'-1,visible,,,224,,55000
35784,simple,HC19AJ94,"Mascarilla Colageno Para Ojos",1,visible,,,3952,,3000
35792,simple,HC19AJ95,"Brocha para Mascarilla Fucsia",1,visible,,,526,,5000
35821,simple,HC19AJ96,"COMBO AMOR #1",'-1,visible,,,,,80000
39458,simple,HC19AJ203,"COMBO LUNA",'-1,visible,,,,,90000
39460,simple,HC19AJ204,"COMBO REAL NUDE",'-1,visible,,,,,50000
39462,simple,HC19AJ205,"COMBO DEPILADOR",'-1,visible,,,,,30000
39464,simple,HC19AJ206,"COMBO BEAUTY",'-1,visible,,,,,20000
39912,simple,,"SOMBRAS Return of the Jet Eyeshadows - Book 4",1,visible,,,18,,70000
39925,simple,,"SOMBRA The Badass RudeGirl - Book 6",1,visible,,,24,,70000
39927,simple,HC19AJ209,"SOMBRA The Rude AWAKENING - Book 5",'-1,visible,,,,,70000
39932,simple,,"SOMBRA C'est Fantastique",1,visible,,,4,,70000
41443,simple,HC19AJ212,"BROCHAS CONCHA",1,visible,,,,,40000
43169,simple,HC19AJ213,"PAPEL DE ARROZ",'-1,visible,,,,,10000
46032,simple,HC19AJ214,"LETRERO LED A5 MEDIANO",1,visible,,,82,,40000
46037,simple,HC19AJ215,"LETRERO LED A4 GRANDE",1,visible,,,272,,50000
47880,simple,HC19AJ216,"PAPEL DE ARROZ BESTY",1,visible,,,887,,8000
49968,variable,HC19AJ217,"MASCARILLA DE GLITTER DEAR SHE",1,visible,,,,,
