36617,HC19AJ157,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY",0,visible,,,,,30000
36618,HC19AJ158,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT",0,visible,,,,,30000
36619,HC19AJ159,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM",1,visible,,,0,,30000
36620,HC19AJ160,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER",1,visible,,,0,,30000
36621,HC19AJ161,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND",0,visible,,,,,30000
36622,HC19AJ162,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN",0,visible,,,,,30000
37048,HC19AJ163,"COMBO DIAMANTE ARCOIRIS",'-1,visible,,,,,40000
37050,HC19AJ164,"COMBO DIAMANTE AZUL",'-1,visible,,,,,40000
37053,HC19AJ165,"COMBO FACIAL ROSA",'-1,visible,,,,,30000
37058,HC19AJ166,"COMBO SUGAR",'-1,visible,,,,,40000
37324,HC19AJ167,"Iluminador Bronceador Shimmer Powder",1,visible,,,,,
37329,HC19AJ168,"Iluminador Bronceador Shimmer Powder - BRONCER",1,visible,,,21,,15000
37330,HC19AJ169,"Iluminador Bronceador Shimmer Powder - DORADO",1,visible,,,21,,15000
37331,HC19AJ170,"Iluminador Bronceador Shimmer Powder - ORO ROSA",1,visible,,,21,,15000
37445,HC19AJ171,"MAGIC BRA",1,visible,,,,,
37463,HC19AJ172,"MAGIC BRA - BEIGE, A",0,visible,,,,,16000
37464,HC19AJ173,"MAGIC BRA - BEIGE, B",1,visible,,,,,16000
37465,HC19AJ174,"MAGIC BRA - BEIGE, C",1,visible,,,,,16000
37466,HC19AJ175,"MAGIC BRA - BEIGE, D",1,visible,,,,,16000
37467,HC19AJ176,"MAGIC BRA - NEGRO, A",0,visible,,,,,16000
37468,HC19AJ177,"MAGIC BRA - NEGRO, B",1,visible,,,,,16000
37469,HC19AJ178,"MAGIC BRA - NEGRO, C",1,visible,,,,,16000
37470,HC19AJ179,"MAGIC BRA - NEGRO, D",1,visible,,,,,16000
37477,HC19AJ180,"Depilador Facial - Recargable",1,visible,,,,,
37487,HC19AJ181,"Depilador Facial - Recargable - BLANCO",1,visible,,,244,,40000
37488,HC19AJ182,"Depilador Facial - Recargable - ROSADO",1,visible,,,0,,40000
37489,HC19AJ183,"Depilador Facial - Recargable - NEGRO",0,visible,,,,,40000
37490,HC19AJ184,"Depilador Facial - Recargable - ROJO",0,visible,,,,,40000
37492,HC19AJ185,"Depilador Facial - Pilas",1,visible,,,,,
37493,HC19AJ186,"Depilador Facial - Pilas - BLANCO",1,visible,,,244,,25000
37494,HC19AJ187,"Depilador Facial - Pilas - ROSADO",0,visible,,,,,25000
37495,HC19AJ188,"Depilador Facial - Pilas - NEGRO",0,visible,,,,,25000
37496,HC19AJ189,"Depilador Facial - Pilas - ROJO",0,visible,,,,,25000
37878,HC19AJ190,"COMBO MASCARA",'-1,visible,,,,,20000
37882,HC19AJ191,"COMBO BARELYNUDE",'-1,visible,,,,,40000
37888,HC19AJ192,"COMBO SHIMMER",'-1,visible,,,,,30000
37890,HC19AJ193,"COMBO CUIDADO FACIAL",'-1,visible,,,,,30000
39246,HC19AJ194,"COMBO NEGRO",'-1,visible,,,,,50000
39248,HC19AJ195,"COMBO WAX",'-1,visible,,,,,20000
39251,HC19AJ196,"COMBO SHINY",'-1,visible,,,,,40000
39257,HC19AJ197,"COMBO COLOSSAL",'-1,visible,,,,,50000
39261,HC19AJ198,"COMBO CARACOL",'-1,visible,,,,,20000
39267,HC19AJ199,"COMBO BH",'-1,visible,,,,,50000
39317,HC19AJ200,"EXTRACTOR DE PUNTOS NEGROS DIGITAL",1,visible,,,,,60000
39396,HC19AJ201,"PESTA?INA LASH SENSATIONAL",'-1,visible,,,0,,25000
39434,HC19AJ202,"BEAUTY BLENDER SNAPCHIC",'-1,visible,,,,,20000
63721,HC19AJ254,"PESTAÑAS 3D",1,visible,,,73,,12000
63726,HC19AJ255,"COMBO OLLA 500 GR",1,visible,,,47,,60000
63817,HC19AJ256,"AGUA DE ROSAS",1,visible,,,,,11000
63823,HC19AJ257,"AGUA DE HAMAMELIS",1,visible,,,,,11000
63831,HC19AJ258,"JABON FACIAL PIEL GRASA",1,visible,,,,,25000
63833,HC19AJ259,"JABON FACIAL PIEL MIXTA O NORMAL",1,visible,,,,,25000
63838,HC19AJ260,"EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN",1,visible,,,,,70000
63866,HC19AJ261,"PERLAS DEPILATORIAS POR 500GR",1,visible,,,20,,30000
63913,HC19AJ262,"COMBO BEAUTY",'-1,visible,,,,,60000
