35419,,"ESSENTIAL BRUSH COLLECTION - CBR55",0,visible,"TIPO DE BROCHA",CBR55,,0
35420,,"ESSENTIAL BRUSH COLLECTION - CBR56",1,visible,"TIPO DE BROCHA",CBR56,,0
35421,,"ESSENTIAL BRUSH COLLECTION - CBR57",0,visible,"TIPO DE BROCHA",CBR57,,0
35422,,"ESSENTIAL BRUSH COLLECTION - CBR58",0,visible,"TIPO DE BROCHA",CBR58,,0
35423,,"ESSENTIAL BRUSH COLLECTION - CBR59",1,visible,"TIPO DE BROCHA",CBR59,,0
35424,,"ESSENTIAL BRUSH COLLECTION - CBR60",0,visible,"TIPO DE BROCHA",CBR60,,0
35425,,"ESSENTIAL BRUSH COLLECTION - CBR61",1,visible,"TIPO DE BROCHA",CBR61,,0
35426,,"ESSENTIAL BRUSH COLLECTION - CBR62",1,visible,"TIPO DE BROCHA",CBR62,,0
35427,,"ESSENTIAL BRUSH COLLECTION - CBR63",1,visible,"TIPO DE BROCHA",CBR63,,0
35428,,"ESSENTIAL BRUSH COLLECTION - CBR64",1,visible,"TIPO DE BROCHA",CBR64,,0
35429,,"ESSENTIAL BRUSH COLLECTION - CBR65",1,visible,"TIPO DE BROCHA",CBR65,,0
35430,,"ESSENTIAL BRUSH COLLECTION - CBR66",1,visible,"TIPO DE BROCHA",CBR66,,0
35471,,"PORELESS FACE PRIMER BEAUTY CREATIONS",1,visible,,,,
35475,,"CORRECTOR PRO CONCEALER",1,visible,TONO,"GC969, GC970, GC990, GC991, GC992, GC993, GC994, GC995, GC996",1,0
35476,,"CORRECTOR PRO CONCEALER - GC990",0,visible,TONO,GC990,,0
35477,,"CORRECTOR PRO CONCEALER - GC991",1,visible,TONO,GC991,,0
35478,,"CORRECTOR PRO CONCEALER - GC992",1,visible,TONO,GC992,,0
35479,,"CORRECTOR PRO CONCEALER - GC993",0,visible,TONO,GC993,,0
35480,,"CORRECTOR PRO CONCEALER - GC994",0,visible,TONO,GC994,,0
35481,,"CORRECTOR PRO CONCEALER - GC995",0,visible,TONO,GC995,,0
35482,,"CORRECTOR PRO CONCEALER - GC996",0,visible,TONO,GC996,,0
35503,,"FIJADOR CONTROL MATTE",'-1,visible,,,,
35513,,"POMADA DE CEJAS",1,visible,TONO,"GBP361, GBP362, GBP363, GBP364, GBP365, GBP366",1,0
35514,,"POMADA DE CEJAS - GBP361",0,visible,TONO,GBP361,,0
35515,,"POMADA DE CEJAS - GBP362",1,visible,TONO,GBP362,,0
35516,,"POMADA DE CEJAS - GBP363",1,visible,TONO,GBP363,,0
35517,,"POMADA DE CEJAS - GBP364",1,visible,TONO,GBP364,,0
35518,,"POMADA DE CEJAS - GBP365",1,visible,TONO,GBP365,,0
35519,,"POMADA DE CEJAS - GBP366",0,visible,TONO,GBP366,,0
35528,,"LAVABROCHAS EN SECO",'-1,visible,,,,
35538,,"COMBO PLANCHA + RIZADOR",'-1,visible,"COLOR MINI PLANCHA","ROSA, VERDE MENTA, MORADO",1,0
35540,,"COMBO PLANCHA + RIZADOR - ROSA",1,visible,"COLOR MINI PLANCHA",ROSA,,0
35541,,"COMBO PLANCHA + RIZADOR - VERDE MENTA",1,visible,"COLOR MINI PLANCHA","VERDE MENTA",,0
35542,,"COMBO PLANCHA + RIZADOR - MORADO",1,visible,"COLOR MINI PLANCHA",MORADO,,0
35719,,"BROCHAS BH ROSE ROMANCE BH COSMETICS",1,visible,,,,
35784,,"MASCARILLA COLAGENO PARA OJOS",1,visible,,,,
35792,,"BROCHA PARA MASCARILLA FUCSIA",1,visible,,,,
35821,,"COMBO AMOR #1",'-1,visible,,,,
35824,,"COMBO AMOR #2",'-1,visible,,,,
35826,,"COMBO AMOR #3",'-1,visible,,,,
35891,,ENCRESPADOR,1,visible,COLOR,"AZUL, NARANJA, ROSA, VERDE",0,0,
35937,,"COMBO PRINCESA",'-1,visible,,,,,
35941,,"COMBO UNICORNIO",'-1,visible,,,,,
35943,,"COMBO DIAMANTE",'-1,visible,,,,,
35944,,"COMBO SIRENA",'-1,visible,,,,,
35973,,"COMBO SIRENA ROSA",'-1,visible,,,,,
35978,,"COMBO #2",'-1,visible,,,,,
35979,,"COMBO #4",'-1,visible,,,,,
35980,,"COMBO ARCOIRIS",'-1,visible,,,,,
36022,,"BROCHAS SIRENA",'-1,visible,,,,,
36029,,"POLVO TRASLUCIDO BANANA",1,visible,,,,,
36036,,"EXTRACTOR PUNTOS NEGROS 2",'-1,visible,,,,,
36051,,"COMBO FACIAL",'-1,visible,,,,,
36054,,"COMBO SIRENA BAKED",'-1,visible,,,,,
36123,,"MASAJEADOR FACIAL 4 EN 1",1,visible,,,,,
36161,,"EXTRACTOR PUNTOS NEGROS 1",'-1,visible,,,,,
36201,,"COMBO AGUA",'-1,visible,,,,,
36203,,"COMBO CALI",'-1,visible,,,,,
36237,,"COMBO CUIDADO FACIAL",'-1,visible,,,,,
36242,,"COMBO GLITTER",'-1,visible,,,,,
36243,,"COMBO DONA",'-1,visible,,,,,
36244,,"COMBO BAKED",'-1,visible,,,,,
36262,,"PESTAÑINA THE COLOSSAL VOLUM'EXPRESS",1,visible,,,,,
36305,,"COMBO BANANA",'-1,visible,,,,,
36311,,"COMBO FACIAL",'-1,visible,,,,,
36312,,"COMBO BAKED",'-1,visible,,,,,
36313,,"COMBO SIRENA",'-1,visible,,,,,
36314,,"COMBO COSMETICS",'-1,visible,,,,,
36404,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,visible,TONO,"BUFF BEIGE, BUFF, CLASSIC IVORY, CREAMY BEIGE, CREAMY IVORY, CREAMY NATURAL, HONEY, MEDIUM BEIGE, NUDE, PURE BEIGE, SANDY BEIGE, TAN",1,0,"BUFF BEIGE"
36405,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF BEIGE",0,visible,TONO,"BUFF BEIGE",,0,
36406,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF",0,visible,TONO,BUFF,,0,
36407,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CLASSIC IVORY",0,visible,TONO,"CLASSIC IVORY",,0,
36408,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY BEIGE",0,visible,TONO,"CREAMY BEIGE",,0,
36409,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY IVORY",0,visible,TONO,"CREAMY IVORY",,0,
36410,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY NATURAL",1,visible,TONO,"CREAMY NATURAL",,0,
36411,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - HONEY",0,visible,TONO,HONEY,,0,
36412,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - MEDIUM BEIGE",0,visible,TONO,"MEDIUM BEIGE",,0,
36413,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - NUDE",1,visible,TONO,NUDE,,0,
36414,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - PURE BEIGE",1,visible,TONO,"PURE BEIGE",,0,
36415,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - SANDY BEIGE",0,visible,TONO,"SANDY BEIGE",,0,
36416,,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - TAN",0,visible,TONO,TAN,,0,
36599,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,visible,TONOS,"BRIGHTENER, CARAMEL, FAIR, GOLDEN, HAZELNUT, HONEY, IVORY, LIGHT, MEDIUM, NEUTRALIZER, SAND, TAN",1,0,MEDIUM
36611,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - BRIGHTENER",0,visible,TONOS,BRIGHTENER,,0,
36612,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - CARAMEL",0,visible,TONOS,CARAMEL,,0,
36613,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - FAIR",0,visible,TONOS,FAIR,,0,
36614,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - GOLDEN",0,visible,TONOS,GOLDEN,,0,
36615,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HAZELNUT",0,visible,TONOS,HAZELNUT,,0,
36616,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HONEY",0,visible,TONOS,HONEY,,0,
36617,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY",0,visible,TONOS,IVORY,,0,
36618,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT",0,visible,TONOS,LIGHT,,0,
36619,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM",1,visible,TONOS,MEDIUM,,0,,,,,
36620,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER",0,visible,TONOS,NEUTRALIZER,,0,,,,,
36621,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND",0,visible,TONOS,SAND,,0,,,,,
36622,,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN",0,visible,TONOS,TAN,,0,,,,,
37048,,"COMBO DIAMANTE ARCOIRIS",'-1,visible,,,,,,,,,
37050,,"COMBO DIAMANTE AZUL",'-1,visible,,,,,,,,,
37053,,"COMBO FACIAL ROSA",'-1,visible,,,,,,,,,
37058,,"COMBO SUGAR",'-1,visible,,,,,,,,,
37324,,"Iluminador Bronceador Shimmer Powder",1,visible,TONOS,"BRONCER, DORADO, ORO ROSA",1,0,,,,,
37329,,"Iluminador Bronceador Shimmer Powder - BRONCER",1,visible,TONOS,BRONCER,,0,,,,,
37330,,"Iluminador Bronceador Shimmer Powder - DORADO",1,visible,TONOS,DORADO,,0,,,,,
37331,,"Iluminador Bronceador Shimmer Powder - ORO ROSA",1,visible,TONOS,"ORO ROSA",,0,,,,,
37445,,"MAGIC BRA",'-1,visible,COLOR,"BEIGE, NEGRO",1,0,,COPA,"A, B, C, D",1,0
37463,,"MAGIC BRA - BEIGE, A",0,visible,COLOR,BEIGE,,0,,COPA,A,,0
37464,,"MAGIC BRA - BEIGE, B",0,visible,COLOR,BEIGE,,0,,COPA,B,,0
37465,,"MAGIC BRA - BEIGE, C",1,visible,COLOR,BEIGE,,0,,COPA,C,,0
37466,,"MAGIC BRA - BEIGE, D",1,visible,COLOR,BEIGE,,0,,COPA,D,,0
37467,,"MAGIC BRA - NEGRO, A",0,visible,COLOR,NEGRO,,0,,COPA,A,,0
37468,,"MAGIC BRA - NEGRO, B",0,visible,COLOR,NEGRO,,0,,COPA,B,,0
37469,,"MAGIC BRA - NEGRO, C",0,visible,COLOR,NEGRO,,0,,COPA,C,,0
37470,,"MAGIC BRA - NEGRO, D",0,visible,COLOR,NEGRO,,0,,COPA,D,,0
37477,,"Depilador Facial - Recargable",1,visible,COLOR,"BLANCO, ROJO",1,0,,,,,
37492,,"Depilador Facial - Pilas",'-1,visible,,,,,,,,,
37878,,"COMBO MASCARA",'-1,visible,,,,,,,,,
37882,,"COMBO BARELYNUDE",'-1,visible,,,,,,,,,
37888,,"COMBO SHIMMER",'-1,visible,,,,,,,,,
37890,,"COMBO CUIDADO FACIAL",'-1,visible,,,,,,,,,
39246,,"COMBO NEGRO",'-1,visible,,,,,,,,,
39248,,"COMBO WAX",'-1,visible,,,,,,,,,
39251,,"COMBO SHINY",'-1,visible,,,,,,,,,
39257,,"COMBO COLOSSAL",'-1,visible,,,,,,,,,
39261,,"COMBO CARACOL",'-1,visible,,,,,,,,,
39267,,"COMBO BH",'-1,visible,,,,,,,,,
39317,,"EXTRACTOR DE PUNTOS NEGROS DIGITAL",1,visible,,,,,,,,,
39396,,"PESTA?INA LASH SENSATIONAL",'-1,visible,,,,,,,,,
