599,"SOMBRAS THE ROYAL PEACH PALETTE",'-1,Marca,HOLY,1,0,
603,"ILUMINADOR ANASTASIA BEVERLY HILLS",'-1,Marca,HOLY,1,0,
616,"Lavabrochas Brushes Egg",'-1,Marca,HOLY,1,0,
683,"POLVOS L'OR?AL",'-1,TONO,"1, 2",1,0,
703,"LABIALES KYLIE VACATION X12",'-1,,,,,
726,"EXTRACTOR PUNTOS NEGROS",'-1,,,,,
771,"DESMAQUILLADOR DE OJOS Y LABIOS",'-1,Tono,"Verde, Rosado, Azul, Amarillo",1,0,
774,"DESMAQUILLADOR DE OJOS Y LABIOS",'-1,Tono,,,0,
776,"MASCARILLA DE CELULOSA COMPRIMIDA",'-1,,,,,
889,"MASCARILLA DE ORO BEAUTY HOST",1,Marca,,0,0,
890,"MASCARILLA DE CARACOL BEAUTY HOST",1,Marca,,0,0,
891,"MASCARILLA CONTROL GRASA BEAUTY HOST",1,Marca,,0,0,
892,"MASCARILLA DE ALOE BEAUTY HOST",1,Marca,,0,0,
35089,"BEAUTY BLENDER",'-1,COLOR,"FUCSIA, BEIGE, NEGRO",1,0,NEGRO
35102,"AQUARIUM GLITTER",'-1,"COLOR BROCHA","ROSA AGUA, MORADO AGUA, ROSA PIEDRA, AZUL PIEDRA",1,0,
35109,"SOMBRAS MODERN RENAISSANCE PALETTE",'-1,,,,,
35113,"BROCHAS SIRENA ORO",'-1,,,,,
35120,"BROCHAS BH CHIC",'-1,,,,,
35123,"MAQUINA LAVA BROCHAS",'-1,,,,,
35145,"MASCARILLA COLAGENO PARA LABIOS",'-1,,,,,
35155,"MASCARILLA PUNTOS NEGROS PILATEN",1,Marca,,0,0,
35161,"SET KYLIE VACATION X4",'-1,,,,,
35165,"PALETA DE CONTOURING HIGHLIGHT & CONTOUR PRO PALETTE",'-1,,,,,
35171,"MASAJEADOR FACIAL 5 EN 1 - VIEJO",'-1,,,,,
35177,"OLLA PARA CERA",'-1,,,,,
35189,"POLVOS L'OR?AL",'-1,TONO,,,0,
35244,"SOMBRA THE SWEETEST PALETE",'-1,,,,,
35248,"GLITTER PRIMER",'-1,,,,,
35258,"BROCHAS CITY COLOR PHOTO CHIC SET 15PCS",'-1,,,,,
35292,"Polvo Compacto HD Kleancolor",'-1,,,,,
35295,COPPERELLA,'-1,,,,,
35310,"LABIALES KYLIE BLACK EDITION X11",'-1,,,,,
35326,"BASE PRO MATTE FOUNDATION",'-1,TONO,"GLM671, GLM672, GLM673, GLM674, GLM675, GLM676, GLM677, GLM678, GLM679, GLM680, GLM681, GLM682, GLM683, GLM684",1,0,
35347,"BASE PRO MATTE FOUNDATION - GLM671",'-1,TONO,GLM671,,0,
35348,"BASE PRO MATTE FOUNDATION - GLM672",'-1,TONO,GLM672,,0,
35349,"BASE PRO MATTE FOUNDATION - GLM673",'-1,TONO,GLM673,,0,
35350,"BASE PRO MATTE FOUNDATION - GLM674",'-1,TONO,GLM674,,0,
35351,"BASE PRO MATTE FOUNDATION - GLM675",'-1,TONO,GLM675,,0,
35352,"BASE PRO MATTE FOUNDATION - GLM676",'-1,TONO,GLM676,,0,
35353,"BASE PRO MATTE FOUNDATION - GLM678",'-1,TONO,GLM678,,0,
35354,"BASE PRO MATTE FOUNDATION - GLM679",'-1,TONO,GLM679,,0,
35355,"BASE PRO MATTE FOUNDATION - GLM680",'-1,TONO,GLM680,,0,
35356,"BASE PRO MATTE FOUNDATION - GLM681",'-1,TONO,GLM681,,0,
35357,"BASE PRO MATTE FOUNDATION - GLM682",'-1,TONO,GLM682,,0,
35358,"BASE PRO MATTE FOUNDATION - GLM683",'-1,TONO,GLM683,,0,
35359,"BASE PRO MATTE FOUNDATION - GLM684",'-1,TONO,GLM684,,0,
35361,"BASE PRO MATTE FOUNDATION - GLM677",'-1,TONO,GLM677,,0,
35404,"SOMBRAS ELSA",'-1,,,,,
35414,"ESSENTIAL BRUSH COLLECTION",'-1,"TIPO DE BROCHA","CBR51, CBR52, CBR53, CBR54, CBR55, CBR56, CBR57, CBR58, CBR59, CBR60, CBR61, CBR62, CBR63, CBR64, CBR65, CBR66",1,0,
35423,"ESSENTIAL BRUSH COLLECTION - CBR59",'-1,"TIPO DE BROCHA",CBR59,,0,
35425,"ESSENTIAL BRUSH COLLECTION - CBR61",'-1,"TIPO DE BROCHA",CBR61,,0,
35426,"ESSENTIAL BRUSH COLLECTION - CBR62",'-1,"TIPO DE BROCHA",CBR62,,0,
35427,"ESSENTIAL BRUSH COLLECTION - CBR63",'-1,"TIPO DE BROCHA",CBR63,,0,
35428,"ESSENTIAL BRUSH COLLECTION - CBR64",'-1,"TIPO DE BROCHA",CBR64,,0,
35429,"ESSENTIAL BRUSH COLLECTION - CBR65",'-1,"TIPO DE BROCHA",CBR65,,0,
35430,"ESSENTIAL BRUSH COLLECTION - CBR66",'-1,"TIPO DE BROCHA",CBR66,,0,
35471,"PORELESS FACE PRIMER",'-1,,,,,
35475,"CORRECTOR PRO CONCEALER",'-1,TONO,"GC969, GC970, GC990, GC991, GC992, GC993, GC994, GC995, GC996",1,0,GC993
35476,"CORRECTOR PRO CONCEALER - GC990",'-1,TONO,GC990,,0,
35477,"CORRECTOR PRO CONCEALER - GC991",'-1,TONO,GC991,,0,
35478,"CORRECTOR PRO CONCEALER - GC992",'-1,TONO,GC992,,0,
35479,"CORRECTOR PRO CONCEALER - GC993",'-1,TONO,GC993,,0,
35480,"CORRECTOR PRO CONCEALER - GC994",'-1,TONO,GC994,,0,
35481,"CORRECTOR PRO CONCEALER - GC995",'-1,TONO,GC995,,0,
35482,"CORRECTOR PRO CONCEALER - GC996",'-1,TONO,GC996,,0,
35503,"FIJADOR CONTROL MATTE VIEJO",'-1,,,,,
35513,"POMADA DE CEJAS",'-1,TONO,"GBP361, GBP362, GBP363, GBP364, GBP365, GBP366",1,0,
35514,"POMADA DE CEJAS - GBP361",'-1,TONO,GBP361,,0,
35515,"POMADA DE CEJAS - GBP362",'-1,TONO,GBP362,,0,
35516,"POMADA DE CEJAS - GBP363",'-1,TONO,GBP363,,0,
35517,"POMADA DE CEJAS - GBP364",'-1,TONO,GBP364,,0,
35518,"POMADA DE CEJAS - GBP365",'-1,TONO,GBP365,,0,
35519,"POMADA DE CEJAS - GBP366",'-1,TONO,GBP366,,0,
35528,"LAVABROCHAS EN SECO",'-1,,,,,
35538,"COMBO PLANCHA + RIZADOR",'-1,"COLOR MINI PLANCHA","ROSA, VERDE MENTA, MORADO",1,0,
35540,"COMBO PLANCHA + RIZADOR - ROSA",'-1,"COLOR MINI PLANCHA",ROSA,,0,
35541,"COMBO PLANCHA + RIZADOR - VERDE MENTA",'-1,"COLOR MINI PLANCHA","VERDE MENTA",,0,
35542,"COMBO PLANCHA + RIZADOR - MORADO",'-1,"COLOR MINI PLANCHA",MORADO,,0,
35719,"BROCHAS BH ROSE ROMANCE BH COSMETICS",'-1,,,,,
35784,"MASCARILLA COLAGENO PARA OJOS",'-1,,,,,
35792,"BROCHA PARA MASCARILLA FUCSIA",'-1,,,,,
35821,"COMBO AMOR #1",'-1,,,,,
35824,"COMBO AMOR #2",'-1,,,,,
35826,"COMBO AMOR #3",'-1,,,,,
35937,"COMBO PRINCESA",'-1,,,,,
35941,"COMBO UNICORNIO",'-1,,,,,
35943,"COMBO DIAMANTE",'-1,,,,,
35944,"COMBO SIRENA",'-1,,,,,
35973,"COMBO SIRENA ROSA",'-1,,,,,
35978,"COMBO #2",'-1,,,,,
35979,"COMBO #4",'-1,,,,,
35980,"COMBO ARCOIRIS",'-1,,,,,
36022,"BROCHAS SIRENA",'-1,,,,,
36029,"POLVO TRASLUCIDO BANANA 1",'-1,,,,,
36036,"EXTRACTOR PUNTOS NEGROS 2",'-1,,,,,
36051,"COMBO FACIAL",'-1,,,,,
36054,"COMBO SIRENA BAKED",'-1,,,,,
36123,"MASAJEADOR FACIAL 4 EN 1",1,Marca,,0,0,
36161,"EXTRACTOR PUNTOS NEGROS 1",'-1,,,,,
36201,"COMBO AGUA",'-1,,,,,
36203,"COMBO CALI",'-1,,,,,,,,,
36237,"COMBO CUIDADO FACIAL",'-1,,,,,,,,,
36242,"COMBO GLITTER",'-1,,,,,,,,,
