ID	SKU	Nombre	Publicado	Día en que empieza el precio rebajado	Día en que termina el precio rebajado	Inventario	Precio rebajado	Precio normal
35475	HC19AJ70	CORRECTOR PRO CONCEALER	1					
35476	HC19AJ71	CORRECTOR PRO CONCEALER - GC990	1			1		15000
35477	HC19AJ72	CORRECTOR PRO CONCEALER - GC991	0					15000
35478	HC19AJ73	CORRECTOR PRO CONCEALER - GC992	1			3		15000
35479	HC19AJ74	CORRECTOR PRO CONCEALER - GC993	0					15000
35480	HC19AJ75	CORRECTOR PRO CONCEALER - GC994	0					15000
35481	HC19AJ76	CORRECTOR PRO CONCEALER - GC995	0					15000
35482	HC19AJ77	CORRECTOR PRO CONCEALER - GC996	0					15000
35503	HC19AJ78	FIJADOR CONTROL MATTE	1			4		20000
35509	HC19AJ79	LABIALES  LIPSTICK CONTOUR MATTE	'-1			0		25000
35513	HC19AJ80	POMADA DE CEJAS brow pomade	'-1					
35514	HC19AJ81	POMADA DE CEJAS brow pomade - GBP361	1			0		20000
35515	HC19AJ82	POMADA DE CEJAS brow pomade - GBP362	1			0		20000
35516	HC19AJ83	POMADA DE CEJAS brow pomade - GBP363	1			0		20000
35517	HC19AJ84	POMADA DE CEJAS brow pomade - GBP364	1			0		20000
35518	HC19AJ85	POMADA DE CEJAS brow pomade - GBP365	1			0		20000
35519	HC19AJ86	POMADA DE CEJAS brow pomade - GBP366	1			0		20000
35528	HC19AJ87	LAVABROCHAS EN SECO	'-1			8		15000
35538	HC19AJ88	COMBO PLANCHA + RIZADOR	'-1					
35540	HC19AJ89	COMBO PLANCHA + RIZADOR - ROSA	1					40000
35541	HC19AJ90	COMBO PLANCHA + RIZADOR - VERDE MENTA	1					40000
35542	HC19AJ91	COMBO PLANCHA + RIZADOR - MORADO	1					40000
35719	HC19AJ92	BROCHAS BH ROSE ROMANCE BH COSMETICS	1			61		50000
35724	HC19AJ93	BROCHAS BH CRYSTAL QUARTZ BH COSMETICS	1			219		55000
35784	HC19AJ94	Mascarilla Colageno Para Ojos	1			4025		3000
35792	HC19AJ95	Brocha para Mascarilla Fucsia	1			554		5000
35821	HC19AJ96	COMBO AMOR #1	'-1					80000
35824	HC19AJ97	COMBO AMOR #2	'-1					135000
35826	HC19AJ98	COMBO AMOR #3	'-1					75000
35891	HC19AJ99	ENCRESPADOR	1			85		20000
35937	HC19AJ100	COMBO PRINCESA	'-1					40000
35941	HC19AJ101	COMBO UNICORNIO	'-1					50000
35943	HC19AJ102	COMBO DIAMANTE	'-1					60000
35944	HC19AJ103	COMBO SIRENA	'-1					40000
35973	HC19AJ104	COMBO SIRENA ROSA	'-1					50000
35978	HC19AJ105	COMBO #2	'-1					30000
35979	HC19AJ106	COMBO #4	'-1					40000
35980	HC19AJ107	COMBO ARCOIRIS	'-1					100000
36022	HC19AJ109	BROCHAS SIRENA	'-1			2		45000
36029	HC19AJ110	POLVO TRASLUCIDO BANANA	1			1		25000
36036	HC19AJ111	EXTRACTOR PUNTOS NEGROS 2	'-1					70000
36051	HC19AJ112	COMBO FACIAL	'-1					20000
36054	HC19AJ113	COMBO SIRENA BAKED	'-1					50000
36111	HC19AJ114	LABIAL SOFT MATTE - CANNES - MATTE MUTED MAUVE	1			8		20000
36112	HC19AJ115	LABIAL SOFT MATTE - COPENHAGEN - MATTE RICH PLUM	1			22		20000
36113	HC19AJ116	LABIAL SOFT MATTE - PRAGUE - MATTE MERLOT	1			0		20000
36114	HC19AJ117	LABIAL SOFT MATTE - ROME - MEDIUM NUDE WITH RED UNDERTONE	1			16		20000
36123	HC19AJ118	MASAJEADOR FACIAL 4 EN 1	1			54		17000
36160	HC19AJ119	Luna Mini 2 - viejo	'-1					
36161	HC19AJ120	EXTRACTOR PUNTOS NEGROS	1			330		50000
36171	HC19AJ121	Luna Mini 2 - viejo - ROSADO	1			0		60000
36172	HC19AJ122	Luna Mini 2 - viejo - FUCSIA	0			0		60000
36173	HC19AJ123	Luna Mini 2 - viejo - AZUL	0			0		60000
36201	HC19AJ124	COMBO AGUA	'-1					50000
36203	HC19AJ125	COMBO CALI	'-1					60000
36237	HC19AJ126	COMBO CUIDADO FACIAL	'-1					50000
36242	HC19AJ127	COMBO GLITTER	'-1					20000
36243	HC19AJ128	COMBO DONA	'-1					50000
36244	HC19AJ129	COMBO BAKED	'-1					60000
36245	HC19AJ130	COMBO SWEETS	'-1			0		70000
36262	HC19AJ131	PESTAÑINA THE COLOSSAL VOLUM'EXPRESS	1			75		25000
36305	HC19AJ132	COMBO BANANA	'-1					50000
36311	HC19AJ133	COMBO FACIAL	'-1					20000
36312	HC19AJ134	COMBO BAKED	'-1					40000
36313	HC19AJ135	COMBO SIRENA	'-1					30000
36314	HC19AJ136	COMBO COSMETICS	'-1					70000
36404	HC19AJ137	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT	1					
36405	HC19AJ138	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF BEIGE	0					35000
36406	HC19AJ139	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF	0					35000
36407	HC19AJ140	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CLASSIC IVORY	1			1		35000
36408	HC19AJ141	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY BEIGE	0					35000
36409	HC19AJ142	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY IVORY	1			7		35000
36410	HC19AJ143	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY NATURAL	1			15		35000
36411	HC19AJ144	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - HONEY	0					35000
36412	HC19AJ145	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - MEDIUM BEIGE	1			3		35000
36413	HC19AJ146	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - NUDE	1			18		35000
36414	HC19AJ147	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - PURE BEIGE	1			10		35000
36415	HC19AJ148	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - SANDY BEIGE	1			3		35000
36416	HC19AJ149	CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - TAN	0					35000
36599	HC19AJ150	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE	1					
36611	HC19AJ151	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - BRIGHTENER	0					30000
36612	HC19AJ152	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - CARAMEL	0					30000
36613	HC19AJ153	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - FAIR	0					30000
36614	HC19AJ154	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - GOLDEN	0					30000
36615	HC19AJ155	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HAZELNUT	0					30000
36616	HC19AJ156	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HONEY	0			5		30000
36617	HC19AJ157	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY	0					30000
36618	HC19AJ158	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT	0					30000
36619	HC19AJ159	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM	1			0		30000
36620	HC19AJ160	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER	1			0		30000
36621	HC19AJ161	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND	0					30000
36622	HC19AJ162	CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN	0					30000
37048	HC19AJ163	COMBO DIAMANTE ARCOIRIS	'-1					40000
37050	HC19AJ164	COMBO DIAMANTE AZUL	'-1					40000
37053	HC19AJ165	COMBO FACIAL ROSA	'-1					30000
37058	HC19AJ166	COMBO SUGAR	'-1					40000
37324	HC19AJ167	Iluminador Bronceador Shimmer Powder	1					
37329	HC19AJ168	Iluminador Bronceador Shimmer Powder - BRONCER	1			20		15000
37330	HC19AJ169	Iluminador Bronceador Shimmer Powder - DORADO	1			0		15000
37331	HC19AJ170	Iluminador Bronceador Shimmer Powder - ORO ROSA	1			0		15000
37445	HC19AJ171	MAGIC BRA	1					
37463	HC19AJ172	MAGIC BRA - BEIGE, A	0					20000
37464	HC19AJ173	MAGIC BRA - BEIGE, B	1			3		20000
37465	HC19AJ174	MAGIC BRA - BEIGE, C	1			1		20000
37466	HC19AJ175	MAGIC BRA - BEIGE, D	1			3		20000
37467	HC19AJ176	MAGIC BRA - NEGRO, A	0					20000
37468	HC19AJ177	MAGIC BRA - NEGRO, B	1			2		20000
37469	HC19AJ178	MAGIC BRA - NEGRO, C	1			1		20000
37470	HC19AJ179	MAGIC BRA - NEGRO, D	1			2		20000
37477	HC19AJ180	Depilador Facial - Recargable	1					
37487	HC19AJ181	Depilador Facial - Recargable - BLANCO	1			292		40000
37488	HC19AJ182	Depilador Facial - Recargable - ROSADO	1			0		40000
37489	HC19AJ183	Depilador Facial - Recargable - NEGRO	0					40000
37490	HC19AJ184	Depilador Facial - Recargable - ROJO	0					40000
37492	HC19AJ185	Depilador Facial - Pilas	1					
37493	HC19AJ186	Depilador Facial - Pilas - BLANCO	1			185		30000
37494	HC19AJ187	Depilador Facial - Pilas - ROSADO	0					30000
37495	HC19AJ188	Depilador Facial - Pilas - NEGRO	0					30000
37496	HC19AJ189	Depilador Facial - Pilas - ROJO	0					30000
37878	HC19AJ190	COMBO MASCARA	'-1					20000
37882	HC19AJ191	COMBO BARELYNUDE	'-1					40000
37888	HC19AJ192	COMBO SHIMMER	'-1					30000
37890	HC19AJ193	COMBO CUIDADO FACIAL	'-1					30000
39246	HC19AJ194	COMBO NEGRO	'-1					50000
39248	HC19AJ195	COMBO WAX	'-1					20000
39251	HC19AJ196	COMBO SHINY	'-1					40000
39257	HC19AJ197	COMBO COLOSSAL	'-1					50000
39261	HC19AJ198	COMBO CARACOL	'-1					20000
39267	HC19AJ199	COMBO BH	'-1					50000
39317	HC19AJ200	EXTRACTOR DE PUNTOS NEGROS DIGITAL	1			374		60000
39396	HC19AJ201	PESTA?INA LASH SENSATIONAL	'-1			0		25000
39434	HC19AJ202	BEAUTY BLENDER SNAPCHIC	'-1					20000
39458	HC19AJ203	COMBO LUNA	'-1					90000
39460	HC19AJ204	COMBO REAL NUDE	'-1					50000
39462	HC19AJ205	COMBO DEPILADOR	'-1					30000
39464	HC19AJ206	COMBO BEAUTY	'-1					20000
39912	HC19AJ207	SOMBRAS Return of the Jet Eyeshadows - Book 4	1					70000
39925	HC19AJ208	SOMBRA The Badass RudeGirl - Book 6	1			7		70000
39927	HC19AJ209	SOMBRA The Rude AWAKENING - Book 5	1					70000
39932	HC19AJ210	SOMBRA C'est Fantastique Rude Cosmetics	1			4		70000
41428	HC19AJ211	BASE PRO MATTE FOUNDATION	1					
41443	HC19AJ212	BROCHAS CONCHA	1			73		40000
43169	HC19AJ213	PAPEL DE ARROZ	'-1					10000
46032	HC19AJ214	LETRERO LED A5 MEDIANO	1			82		40000
46037	HC19AJ215	LETRERO LED A4 GRANDE	1			270		60000
47880	HC19AJ216	PAPEL DE ARROZ BESTY	1			931		8000
49968	HC19AJ217	MASCARILLA DE GLITTER DEAR SHE	1					
50378	HC19AJ218	BROCHAS SEMIPROFESIONAL 18 PCS	1			44		48000
50508	HC19AJ219	PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE	'-1					28000
50522	HC19AJ220	CEPILLO PARA CEJAS O PESTAÑAS X 10PCS	1			922		5000
50745	HC19AJ221	TERMO SUMMER	1					
50746	HC19AJ222	TERMO SUMMER - AZUL	1			10		20000
50747	HC19AJ223	TERMO SUMMER - MORADO	1			10		20000
50748	HC19AJ224	TERMO SUMMER - NEGRO	1			10		20000
50749	HC19AJ225	TERMO SUMMER - VERDE	1			10		20000
50750	HC19AJ226	TERMO SUMMER - ROJO	1			10		20000
50764		ESPEJO EMOJI	1			53		5000
50826	HC19AJ228	BROCHAS ORO ROSA	1			92		45000
50910	HC19AJ229	MASCARILLA DE GLITTER DEAR SHE - DORADO	1			87		3000
50911	HC19AJ230	MASCARILLA DE GLITTER DEAR SHE - PLATEADO	1			102		3000
50912	HC19AJ231	MASCARILLA DE GLITTER DEAR SHE - ROSA	1			67		3000
51182	HC19AJ232	COMBO CONCHA	'-1					60000
51189	HC19AJ233	COMBO DEPILADOR CRYSTAL	'-1					25000
51193	HC19AJ234	COMBO SUMMER	'-1					50000
52250	HC19AJ235	Smoke ?n Mirrors	'-1			74		50000
52292	HC19AJ236	ARO LED SELFIE	1					
52299	HC19AJ237	ARO LED SELFIE - AZUL	0					15000
52300	HC19AJ238	ARO LED SELFIE - NEGRO	1			88		15000
52303	HC19AJ239	ARO LED SELFIE - ROSA	1			13		15000
52304	HC19AJ240	ARO LED SELFIE - BLANCO	1			48		15000
62219	HC19AJ241	COMBO FACIAL GLITTER	'-1					60000
62221	HC19AJ242	COMBO ARCOIRIS	'-1			15		60000
62223	HC19AJ243	COMBO ESPECIAL	'-1					80000
62225	HC19AJ244	COMBO PLATA	'-1					50000
62227	HC19AJ245	COMBO ROSE	'-1					50000
62232	HC19AJ246	COMBO SKIN	'-1					20000
63327	HC19AJ247	DESMAQUILLADOR DUAL	1			12		20000
63342	HC19AJ248	SUERO FACIAL	1			35		20000
63346	HC19AJ249	BRUSH CRUSH	'-1					20000
63659	HC19AJ250	COSMETIQUERA TORNASOL	1					
63661	HC19AJ251	COSMETIQUERA TORNASOL - TORNASOL MORADO	1			28		15000
63669	HC19AJ252	COSMETIQUERA TORNASOL - TORNASOL HIELO	1			1		15000
63688	HC19AJ253	ROSA TORNASOL	'-1					45000
63721	HC19AJ254	PESTAÑAS 3D	1			80		12000
63726	HC19AJ255	COMBO OLLA +(1) PERLAS 500 GR	1			64		60000
63817	HC19AJ256	AGUA DE ROSAS	1					11000
63823	HC19AJ257	AGUA DE HAMAMELIS	1					11000
63831	HC19AJ258	JABON FACIAL PIEL GRASA	1			13		25000
63833	HC19AJ259	JABON FACIAL PIEL MIXTA O NORMAL	1			13		25000
63838	HC19AJ260	EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN	1			337		70000
63866	HC19AJ261	PERLAS DEPILATORIAS POR 500GR	1			10		30000
63913	HC19AJ262	COMBO BEAUTY	'-1					60000
63917	HC19AJ263	COMBO CLEANING ROSAS	'-1					90000
63919	HC19AJ264	COMBO CONTROL OIL	'-1					90000
63923	HC19AJ265	COMBO FACIAL ROSE	'-1					30000
63928	HC19AJ266	COMBO LASH	'-1					20000
63936	HC19AJ267	COMBO TORNASOL	'-1					30000
64351	HC19AJ268	ESPEJO LED	1					
64354	HC19AJ269	ESPEJO LED - BLANCO	1			94		45000
64355	HC19AJ270	ESPEJO LED - NEGRO	1			10		45000
64356	HC19AJ271	ESPEJO LED - ROSA	1			16		45000
64684	HC19AJ272	PLANCHA REMINGTON AGUACATE CON MACADAMIA	1			2		160000
64700	HC19AJ273	PLANCHA REMINGTON ACEITE DE ARGAN	1			2		140000
64705	HC19AJ274	PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO	1			2		145000
64715	HC19AJ275	PLANCHA REMINGTON PRO-ION ANTIFRIZZ	'-1					135000
64737	HC19AJ276	PLANCHA REMINGTON KERATINA Y ARGAN	1			1		170000
64741	HC19AJ277	PLANCHA REMINGTON SAPPHIREPRO-TITANIUM	1			2		190000
65375	HC19AJ278	KIT VIAJERO ROSA	1			63		15000
65439	HC19AJ279	GEL EXFOLIANTE	1			23		25000
65608	HC19AJ280	COMBO PILI ROSA	'-1					70000
65610	HC19AJ281	COMBO PILI HAMAMELIS	'-1					70000
65614	HC19AJ282	COMBO SAUNA	'-1					110000
65616	HC19AJ283	COMBO CHIC	'-1					50000
65619	HC19AJ284	COMBO LUNA BELLA	'-1					80000
65621	HC19AJ285	COMBO BRONCE	'-1					50000
65725	HC19AJ286	DEPILADORA FEMENINA REMINGTON	1					
65989	HC19AJ287	HYDROGEL	1			24		25000
65995	HC19AJ288	POMADA PARA CEJAS Y PESTAÑAS CILKA	1			14		25000
66030	HC19AJ289	DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT	1			8		40000
66031	HC19AJ290	DEPILADORA FEMENINA REMINGTON - FLORES	1			3		40000
67924	HC19AJ291	COMBO MIRROR	'-1					50000
68628	HC19AJ292	FLAWLESS LEGS - DEPILADOR DE PIERNA	1			63		50000
69718	HC19AJ293	FLAWLESS BROWS - DEPILADOR DE CEJAS PILA	1			73		30000
71416	HC19AJ294	COMBO FLAW	'-1					100000
71426	HC19AJ295	COMBO DEPILADOR	'-1					40000
71584	HC19AJ296	BROCHAS MARMOL	1			157		40000
72391	HC19AJ297	LAMPARA PARA UÑAS 36W	1			34		40000
75509	HC19AJ298	COMBO PROLUNA	'-1					80000
75517	HC19AJ299	COMBO SIRENA GLITTER	'-1					50000
75519	HC19AJ300	COMBO 5 EN 1 PILI	'-1					40000
75521	HC19AJ301	COMBO MARMOL	'-1					50000
75523	HC19AJ302	COMBO HIELO BELLA	'-1					50000
75526	HC19AJ303	COMBO ALOE SAUNA	'-1			3		110000
78324	HC19AJ304	COMBO LUNAR	'-1					90000
78332	HC19AJ305	COMBO CONCHA GOLD	'-1					50000
78339	HC19AJ306	COMBO FLORAL REMINGTON	'-1					80000
78342	HC19AJ307	COMBO SIRENA PLUS	'-1					50000
78686	HC19AJ308	SOMBRAS MERFANTASIA- Book 8	1			2		80000
78706	HC19AJ309	Whatever Forever	'-1			0		40000
78719	HC19AJ310	Unicorn Fantasies - Highlight Palette	'-1					40000
78740	HC19AJ311	SOMBRA The Lingerie Collection - Naughty Nights (Brights)	1			2		48000
78747	HC19AJ312	SOMBRA The Lingerie Collection - Romantic Nights (Nudes)	'-1			0		48000
78776	HC19AJ313	WONDERLAND PROLUX	'-1			0		38000
78794	HC19AJ314	MYSTERIOS OKALAN	'-1					40000
78815	HC19AJ315	PERFECT BLOOM PROLUX	'-1			0		40000
79003	HC19AJ316	TAKE ME HOME-OKALAN	'-1			31		45000
80857	HC19AJ317	COMBO TAKE ME HOME	'-1					70000
80860	HC19AJ318	COMBO SKIN PRO	'-1					100000
80862	HC19AJ319	COMBO MERFANTASIA REAL	'-1					80000
80865	HC19AJ320	COMBO FANTASTIQUE	'-1					100000
82080	HC19AJ321	SOMBRAS TEASE ME BEAUTY CREATIONS	'-1			0		40000
85407	HC19AJ322	BROCHAS BH Smoke `n Mirrors	1			2		40000
88424	HC19AJ323	MASAJEADOR FACIAL 5 EN 1	1			192		15000
88659	HC19AJ324	TAKE ME HOME	1			3		45000
89308	HC19AJ325	Luna Mini 2	1					
89309	HC19AJ326	Luna Mini 2 - ROSADO	1			99		60000
89310	HC19AJ327	Luna Mini 2 - FUCSIA	0			4		60000
89311	HC19AJ328	Luna Mini 2 - AZUL	1			7		60000
90291	HC19AJ329	COMBO DUAL CHIC	'-1					60000
90293	HC19AJ330	COMBO EXRACTODEPILADOR	'-1					70000
90298	HC19AJ331	COMBO HYDRODEPILADOR	'-1					100000
90301	HC19AJ332	COMBO LUNA ROSE	'-1					70000
91613	HC19AJ333	SET REAL	'-1			0		20000
91618	HC19AJ334	COMBO BEAUTY CARE	'-1					50000
91624	HC19AJ335	COMBO ALMEJA	'-1					70000
91626	HC19AJ336	COMBO FACIAL LUNAR	'-1					80000
91629	HC19AJ337	COMBO EXTRACTOLUNAR	'-1					120000
91631	HC19AJ338	COMBO SIRENITA	'-1					50000
91634	HC19AJ339	COMBO MIX	'-1					50000
93485	HC19AJ340	Luna Mini 2 - NEGRO	1			4		60000
93486	HC19AJ341	Luna Mini 2 - AMARILLO	1			6		60000
94744	HC19AJ342	COMBO DEPILADOR BLACK	'-1					30000
94746	HC19AJ343	COMBO DEPILADOR TOP	'-1					110000
94748	HC19AJ344	COMBO LUNA GOLD	'-1					120000
94751	HC19AJ345	COMBO RETURN HD	'-1					90000
95703	HC19AJ346	MASCARILLA DE COLAGENO PARA EL ROSTRO	1			422		7000
95723	HC19AJ347	MASCARILLA ORO DEAR SHE	1			752		3000
96005	HC19AJ348	SECADOR REMIGTON CERAMIC ALMOND OIL	1			1		180000
96017	HC19AJ349	SECADOR REMINGTON KERATIN THERAPHY	1			2		200000
96040	HC19AJ350	SECADOR REMINGTON POWER VOLUME 2000	1			1		120000
96048	HC19AJ351	PLANCHA REMINGTON PRO-SLEEK & CURL	1			2		230000
96075	HC19AJ352	PLANCHA REMINGTON FRIZZ THERAPY	1			1		150000
96094	HC19AJ353	ETERNAL FLAME -KARA BEAUTY (copia)	'-1					40000
96096	HC19AJ354	FLORAL BLOOM- BLUSH (copia)	'-1					38000
96098	HC19AJ355	FLORAL BLOOM CONTOUR & HIGHLIGHT BEAUTY CREATIONS	'-1			0		40000
96099	HC19AJ356	SAUNA FACIAL PROFESIONAL	1					
96100	HC19AJ357	ESPEJO DONA	1			8		5000
96101	HC19AJ358	shadow primer city color  (primer de sombras) (copia)	'-1					10000
96102	HC19AJ359	Bikini Bottom - 18 Eyeshadow Palette (copia)	'-1					50000
