ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Inventario;Precio rebajado;Precio normal
96122;simple;HC19AJ377;BROCHAS DIAMANTE TORNASOL;1;visible;18/06/19 0:00;26/06/19 0:00;97;;45000
104286;simple;HC19AJ429;BROCHAS GALAXY PLATINUIM;1;visible;18/06/19 0:00;26/06/19 0:00;99;;45000
104207;simple;HC19AJ419;BROCHAS GALAXY ROSA;1;visible;18/06/19 0:00;26/06/19 0:00;100;;45000
71584;simple;HC19AJ296;BROCHAS MARMOL;1;visible;18/06/19 0:00;26/06/19 0:00;95;;40000
50826;simple;HC19AJ228;BROCHAS ORO ROSA;1;visible;18/06/19 0:00;26/06/19 0:00;91;;45000
102234;simple;HC19AJ412;BROCHAS PIEDRA ROSA;1;visible;18/06/19 0:00;26/06/19 0:00;80;;30000
104123;simple;HC19AJ415;BROCHAS SECRET ROSE;1;visible;18/06/19 0:00;26/06/19 0:00;97;;45000
50378;simple;HC19AJ218;BROCHAS SEMIPROFESIONAL 18 PCS;1;visible;18/06/19 0:00;26/06/19 0:00;48;;48000
100740;simple;HC19AJ391;BROCHAS SEMIPROFESIONAL 24 PCS;1;visible;18/06/19 0:00;26/06/19 0:00;64;;60000
36022;simple;HC19AJ109;BROCHAS SIRENA;'-1;visible;;;2;35000;45000
98432;simple;HC19AJ388;BROCHAS SIRENA;1;visible;18/06/19 0:00;26/06/19 0:00;;;45000
104152;simple;HC19AJ418;BROCHAS SIRENA AZUL;1;visible;18/06/19 0:00;26/06/19 0:00;100;;45000
35113;simple;HC19AJ17;BROCHAS SIRENA ORO;1;visible;18/06/19 0:00;26/06/19 0:00;97;;45000
104129;simple;HC19AJ416;BROCHAS SWEETS;1;visible;18/06/19 0:00;26/06/19 0:00;93;;45000
96108;simple;HC19AJ364;BROCHAS UNICORNIO;1;visible;18/06/19 0:00;26/06/19 0:00;87;;38000
63346;simple;HC19AJ249;BRUSH CRUSH;'-1;visible;;;;;20000
96111;simple;HC19AJ367;CALI CHIC PALETTE (copia);'-1;visible;;;;;35000
50522;simple;HC19AJ220;CEPILLO PARA CEJAS O PESTAÑAS X 10PCS;1;visible;18/06/19 0:00;26/06/19 0:00;969;;5000
101266;simple;HC19AJ399;CEPILLO SEPADOR DE PESTAÑAS;1;visible;18/06/19 0:00;26/06/19 0:00;55;;7000
35978;simple;HC19AJ105;COMBO #2;'-1;visible;;;;;30000
35979;simple;HC19AJ106;COMBO #4;'-1;visible;;;;;40000
75519;simple;HC19AJ300;COMBO 5 EN 1 PILI;'-1;visible;;;;;40000
36201;simple;HC19AJ124;COMBO AGUA;'-1;visible;;;;;50000
91624;simple;HC19AJ335;COMBO ALMEJA;'-1;visible;;;;;70000
75526;simple;HC19AJ303;COMBO ALOE SAUNA;'-1;visible;;;3;;110000
35821;simple;HC19AJ96;COMBO AMOR #1;'-1;visible;;;;50000;80000
35824;simple;HC19AJ97;COMBO AMOR #2;'-1;visible;;;;100000;135000
35826;simple;HC19AJ98;COMBO AMOR #3;'-1;visible;;;;50000;75000
35980;simple;HC19AJ107;COMBO ARCOIRIS;'-1;visible;;;;;100000
62221;simple;HC19AJ242;COMBO ARCOIRIS;'-1;visible;;;15;;60000
36244;simple;HC19AJ129;COMBO BAKED;'-1;visible;;;;;60000
36312;simple;HC19AJ134;COMBO BAKED;'-1;visible;;;;;40000
36305;simple;HC19AJ132;COMBO BANANA;'-1;visible;;;;;50000
37882;simple;HC19AJ191;COMBO BARELYNUDE;'-1;visible;;;;;40000
39464;simple;HC19AJ206;COMBO BEAUTY;'-1;visible;;;;;20000
63913;simple;HC19AJ262;COMBO BEAUTY;'-1;visible;;;;;60000
91618;simple;HC19AJ334;COMBO BEAUTY CARE;'-1;visible;;;;;50000
39267;simple;HC19AJ199;COMBO BH;'-1;visible;;;;;50000
65621;simple;HC19AJ285;COMBO BRONCE;'-1;visible;;;;;50000
36203;simple;HC19AJ125;COMBO CALI;'-1;visible;;;;;60000
39261;simple;HC19AJ198;COMBO CARACOL;'-1;visible;;;;;20000
65616;simple;HC19AJ283;COMBO CHIC;'-1;visible;;;;;50000
63917;simple;HC19AJ263;COMBO CLEANING ROSAS;'-1;visible;;;;;90000
39257;simple;HC19AJ197;COMBO COLOSSAL;'-1;visible;;;;;50000
51182;simple;HC19AJ232;COMBO CONCHA;'-1;visible;;;;;60000
78332;simple;HC19AJ305;COMBO CONCHA GOLD;'-1;visible;;;;;50000
63919;simple;HC19AJ264;COMBO CONTROL OIL;'-1;visible;;;;;90000
36314;simple;HC19AJ136;COMBO COSMETICS;'-1;visible;;;;;70000
36237;simple;HC19AJ126;COMBO CUIDADO FACIAL;'-1;visible;;;;;50000
