ID	SKU	Nombre	Publicado	Visibilidad en el catálogo	Inventario
36410		CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - CREAMY NATURAL	1	visible	
36412		CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - MEDIUM BEIGE	1	visible	
36413		CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - NUDE	1	visible	
36414		CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - PURE BEIGE	1	visible	
36415		CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - SANDY BEIGE	1	visible	
65725		DEPILADORA FEMENINA REMINGTON	1	visible	
63913		COMBO BEAUTY	'-1	visible	
63917		COMBO CLEANING ROSAS	'-1	visible	
63919		COMBO CONTROL OIL	'-1	visible	
63923		COMBO FACIAL ROSE	'-1	visible	
63928		COMBO LASH	'-1	visible	
63936		COMBO TORNASOL	'-1	visible	
66030		DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT	1	visible	
66031		DEPILADORA FEMENINA REMINGTON - FLORES	1	visible	
774		DESMAQUILLADOR DE OJOS Y LABIOS	1	visible	
35891		ENCRESPADOR	1	visible	
104213		ENCRESPADOR RECARGABLE - CARGADOR PORTATIL	1	visible	
104729		ESPEJO AGUA	1	visible	
64351		ESPEJO LED	1	visible	
64715		PLANCHA REMINGTON PRO-ION ANTIFRIZZ	'-1	visible	
64354		ESPEJO LED - BLANCO	1	visible	
64355		ESPEJO LED - NEGRO	1	visible	
64356		ESPEJO LED - ROSA	1	visible	
63838		EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN	1	visible	
65608		COMBO PILI ROSA	'-1	visible	
65610		COMBO PILI HAMAMELIS	'-1	visible	
65614		COMBO SAUNA	'-1	visible	
65616		COMBO CHIC	'-1	visible	
65619		COMBO LUNA BELLA	'-1	visible	
65621		COMBO BRONCE	'-1	visible	
119412		EXTRACTOR PUNTOS NEGROS	1	visible	
69718		FLAWLESS BROWS - DEPILADOR DE CEJAS PILA	1	visible	
104336		FLAWLESS BROWS - DEPILADOR DE CEJAS RECARGABLE	1	visible	
68628		FLAWLESS LEGS - DEPILADOR DE PIERNA	1	visible	
65439		GEL EXFOLIANTE	1	visible	
67924		COMBO MIRROR	'-1	visible	
103908		HAIR CLIPS	1	visible	
101437		HUMIFICADOR FACIAL- CARGADOR PORTATIL - ROSA	1	visible	
71416		COMBO FLAW	'-1	visible	
71426		COMBO DEPILADOR	'-1	visible	
65989		HYDROGEL	1	visible	
63831		JABON FACIAL PIEL GRASA	1	visible	
75509		COMBO PROLUNA	'-1	visible	
75517		COMBO SIRENA GLITTER	'-1	visible	
75519		COMBO 5 EN 1 PILI	'-1	visible	
75521		COMBO MARMOL	'-1	visible	
75523		COMBO HIELO BELLA	'-1	visible	
75526		COMBO ALOE SAUNA	'-1	visible	
63833		JABON FACIAL PIEL MIXTA O NORMAL	1	visible	
65375		KIT VIAJERO ROSA	1	visible	
35264		LABIAL SOFT MATTE	1	visible	
36111		LABIAL SOFT MATTE - CANNES - MATTE MUTED MAUVE	1	visible	
36112		LABIAL SOFT MATTE - COPENHAGEN - MATTE RICH PLUM	1	visible	
36113		LABIAL SOFT MATTE - PRAGUE - MATTE MERLOT	1	visible	
102234		BROCHAS PIEDRA ROSA	'-1	visible	
36114		LABIAL SOFT MATTE - ROME - MEDIUM NUDE WITH RED UNDERTONE	1	visible	
72391		LAMPARA PARA UÑAS 36W	1	visible	
101594		LAMPARA PARA UÑAS 54W	1	visible	
104287		LAVA BROCHAS EN SECO	1	visible	
119102		LAVA BROCHAS EN SECO HOLY	1	visible	
35123		MAQUINA LAVA BROCHAS	1	visible	
104228		MASAJEADOR DEPILADOR 3 EN 1	1	visible	
36123		MASAJEADOR FACIAL 4 EN 1	1	visible	
35145		MASCARILLA COLAGENO LABIOS	1	visible	
891		MASCARILLA CONTROL GRASA BEAUTY HOST	1	visible	
892		MASCARILLA DE ALOE BEAUTY HOST	1	visible	
890		MASCARILLA DE CARACOL BEAUTY HOST	1	visible	
889		MASCARILLA DE ORO BEAUTY HOST	1	visible	
35155		MASCARILLA PUNTOS NEGROS	1	visible	
35177		OLLA PARA CERA	1	visible	
63866		PERLAS DEPILATORIAS POR 500GR	1	visible	
63721		PESTAÑAS 3D	1	visible	
36262		PESTAÑINA THE COLOSSAL VOLUM'EXPRESS	1	visible	
121786		PINEAPPLE FACE BUBBLE PEELING GEL	1	visible	
119343		"PLANCHA BABYLISS BRAZILIAN TECH 1"""	1	visible	
119347		"PLANCHA BABYLISS BRAZILIAN TECH 1\2"" ANCHO"	1	visible	
119467		PLANCHA BABYLISS PORCELAIN CERAMIC	1	visible	
119476		PLANCHA BABYLISS PORCELAIN CERAMIC ANCHA	1	visible	
119426		PLANCHA BABYLISS SOL GEL CLASICA	1	visible	
119483		PLANCHA BABYLISS TOURMALINE 25MM	1	visible	
119493		PLANCHA BABYLISS TOURMALINE 38MM	1	visible	
119443		PLANCHA BABYLISS-SOL GEL ANCHA	1	visible	
64700		PLANCHA REMINGTON ACEITE DE ARGAN	1	visible	
119331		PLANCHA BABYLISS -SNAP DRAGON	'-1	visible	
64684		PLANCHA REMINGTON AGUACATE CON MACADAMIA	1	visible	
64737		PLANCHA REMINGTON KERATINA Y ARGAN	1	visible	
