ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario;Precio rebajado;Precio normal;Meta: _real_price
35479;variation;;CORRECTOR PRO CONCEALER - GC993;0;visible;;;15000;
35480;variation;;CORRECTOR PRO CONCEALER - GC994;0;visible;;;15000;
35481;variation;;CORRECTOR PRO CONCEALER - GC995;0;visible;;;15000;
35482;variation;;CORRECTOR PRO CONCEALER - GC996;0;visible;;;15000;
50826;simple;;BROCHAS ORO ROSA;1;visible;;;40000;
119173;simple;;BROCHAS ROSAMOR 15 PCS;1;visible;;;55000;
35514;variation;;POMADA DE CEJAS - GBP361;0;visible;;;25000;
35515;variation;;POMADA DE CEJAS - GBP362;0;visible;;;25000;
128623;simple;;BROCHAS ROSE DREAMS;1;visible;;;30000;
104123;simple;;BROCHAS SECRET ROSE;1;visible;;;45000;
50378;simple;;BROCHAS SEMIPROFESIONAL 18 PCS;1;visible;;;48000;
35519;variation;;POMADA DE CEJAS - GBP366;0;visible;;;25000;
35528;simple;;LAVABROCHAS EN SECO;'-1;visible;;;15000;
35538;variable;;COMBO PLANCHA + RIZADOR;'-1;visible;;;;
100740;simple;;BROCHAS SEMIPROFESIONAL 24 PCS;1;visible;;;60000;
98432;simple;;BROCHAS SIRENA;1;visible;;;45000;
104152;simple;;BROCHAS SIRENA AZUL;1;visible;;;45000;
35113;simple;;BROCHAS SIRENA ORO;1;visible;;;45000;
35724;simple;;BROCHAS BH CRYSTAL QUARTZ BH COSMETICS;'-1;visible;;;55000;
104129;simple;;BROCHAS SWEETS;1;visible;;;45000;
96108;simple;;BROCHAS UNICORNIO;1;visible;;;38000;
35821;simple;;COMBO AMOR #1;'-1;visible;;;80000;
35824;simple;;COMBO AMOR #2;'-1;visible;;;135000;
35826;simple;;COMBO AMOR #3;'-1;visible;;;75000;
122756;simple;;Bubblelicious (EXFOLIANTE PARA LABIOS);1;visible;;;25000;
35937;simple;;COMBO PRINCESA;'-1;visible;;;40000;
35941;simple;;COMBO UNICORNIO;'-1;visible;;;50000;
35943;simple;;COMBO DIAMANTE;'-1;visible;;;60000;
35944;simple;;COMBO SIRENA;'-1;visible;;;40000;
35973;simple;;COMBO SIRENA ROSA;'-1;visible;;;50000;
35978;simple;;COMBO #2;'-1;visible;;;30000;
35979;simple;;COMBO #4;'-1;visible;;;40000;
35980;simple;;COMBO ARCOIRIS;'-1;visible;;;100000;
36022;simple;;BROCHAS SIRENA;'-1;visible;;;45000;
50522;simple;;CEPILLO PARA CEJAS O PESTAÑAS 10PCS;1;visible;;;5000;
36036;simple;;EXTRACTOR PUNTOS NEGROS 2;'-1;visible;;;70000;
36051;simple;;COMBO FACIAL;'-1;visible;;;20000;
36054;simple;;COMBO SIRENA BAKED;'-1;visible;;;50000;
101266;simple;;CEPILLO SEPARADOR DE PESTAÑAS;1;visible;;;7000;
124670;simple;;COCONUT LIP MASK (balsamo para labios);1;visible;;;12000;3449
