id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
340115,"FIJADOR MAKE UP FIX SPRAY","El fijador make up fix By Kiss Beauty  un spray que se usa a modo de laca para el rostro, ya que consigue fijarlo en la piel para que quede impecable sin importar el paso de las horas. Ideal para todo tipo de piel. Matifica. Prolonga la duración del maquillaje. **Este producto es enviado en cualquiera de estas (tres presentaciones)** ***Libre de crueldad animal***",http://local.holy.com/tienda/fijador-make-up-fix-spray/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340115,http://local.holy.com/wp-content/uploads/2020/09/Make-up-fix-spray-kiss-beauty-fijador-Holy-cosmetics.jpg,"in stock","COP 20000.00",491,,,,no,New,
337633,"AGUA MICELAR GARNIER SKINACTIVE 400ML","El Agua Micelar Clásica de Garnier es un limpiador suave que extrae la suciedad y las impurezas sin secar la piel. Indicada para todo tipo de pieles, incluyendo las sensibles. Elimina sin esfuerzo el maquillaje y extrae la suciedad de rostro, labios y ojos en un solo gesto y sin aclarado. Gracias a la tecnología micelar de su fórmula, captura las impurezas como un imán. Sin perfume , Sin parabenos.**Lava el rostro después de su uso**",http://local.holy.com/tienda/agua-micelar-garnier-skinactive-400ml/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=337633,http://local.holy.com/wp-content/uploads/2020/09/Agua-micelar-todo-en-1-garnier-skin-active-Holy-cosmetics.jpg,"in stock","COP 26000.00",491,,,,no,New,
337352,"PALETA FACE KIT BUTTERFLY","La paleta de mariposas Ruby Rose Face Kit Butterfly  fue creada especialmente para aquellos que aman maquillarse bien y crear un look increíble. Esta paleta tiene opciones de 2iluminador, 2rubor y 2contorno. **Libre de crueldad**",http://local.holy.com/tienda/paleta-face-kit-butterfly/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=337352,http://local.holy.com/wp-content/uploads/2020/09/paleta-butterfly-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 18000.00",491,,,,no,New,
337324,"SOMBRA SOFT NUDE PALETTE","La paleta soft nude By ruby rose es la combinación perfecta para recrear tus mejores looks de día o de noche. Incluye 18 tonos en total. 1Corrector que funciona muy bien como primer de sombras. 10 Tonos matte. 5 Tonos satinados. 2 Glitter. Alta pigmentación  **Libre de crueldad animal**",http://local.holy.com/tienda/sombra-soft-nude-palette/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=337324,http://local.holy.com/wp-content/uploads/2020/09/Sombra-soft-nude-palette-Ruby-rose-Holy-cosmetics.jpg,"in stock","COP 32000.00",491,,,,no,New,
270402,"EXTRACTOR DE PUNTOS NEGROS HOLY CON SPRAY DE MICRONIZACIÓN","Extractor facial Holy  con spray de micronización es un elemento esencial para mantener tu rostro siempre limpio, retira todas las impurezas de tu rostro y a la vez hidrata durante el proceso  con agua, agua de rosas o de hamamelis, sera tu aliado perfecto para cuidar tu piel. ¡Cuida tu piel!",http://local.holy.com/tienda/extractor-puntos-negros-holy-con-spray-de-micronizacion/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=270402,http://local.holy.com/wp-content/uploads/2020/08/Extractor-con-spray-de-micronizacion-Holy-cosmetics.jpg,"in stock","COP 70000.00",491,,,,no,New,
337085,"BROCHA PARA MASCARILLA HOLY","La brocha para mascarilla HOLY cuenta con un pincel en goma para aplicación facial y corporal de bases liquidas, mascarillas, ácidos, cremas y maquillaje en general, mango de plastico,   aplicador de silicona, esto permite que sea mas higiénico y no desperdicies producto ya que no absorbe, permite una cobertura uniforme y acceso a lugares difíciles. *Este producto es enviado según disponibilidad de color*",http://local.holy.com/tienda/brocha-para-mascarilla-holy/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=337085,http://local.holy.com/wp-content/uploads/2020/09/Brochas-para-mascarilla-holy-Holy-cosmetics.jpg,"in stock","COP 6000.00",491,,,,no,New,
336862,"PESTAÑINA TRÓPICO CURL & VOLUME VERDE","Esta pestañina brindará pestañas curvas y con mas volumen. Su cepillo es curvo con cerdas más gruesas resistentes que darán ese volumen y curva que siempre has deseado. *Libre de crueldad animal*",http://local.holy.com/tienda/pestanina-tropico-curl-volume-verde/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=336862,http://local.holy.com/wp-content/uploads/2020/09/Pestañina-tropico-currl-y-volume-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 13000.00",491,,,,no,New,
336837,"PRIMER FACIAL SKIN PERFECT","Con El primer facial Skin Perfect de Ruby Rose, tendrás una piel perfecta por más tiempo! El primer facial tiene una textura de silicona, suaviza la piel, minimiza los poros, matifica y ayuda a la durabilidad del maquillaje. **Libre de crueldad animal**",http://local.holy.com/tienda/primer-facial-skin-perfect/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=336837,http://local.holy.com/wp-content/uploads/2020/09/Primer-facial-skin-perfect-Holy-cosmetics-1.jpg,"in stock","COP 16000.00",491,,,,no,New,
336648,"PESTAÑINA TRÓPICO VOLUME EXTENTION SALMON","Esta pestañina brindará volumen extremo como extensión a tus pestañas. Su cepillo es recto con cerdas más gruesas resistentes que darán ese volumen y largo que siempre has deseado. *Libre de crueldad animal*",http://local.holy.com/tienda/pestanina-tropico-volume-extention-salmon/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=336648,http://local.holy.com/wp-content/uploads/2020/09/Pestañina-tropico-volume-extention-Holy-cosmetics.jpg,"in stock","COP 13000.00",491,,,,no,New,
336640,"PESTAÑINA TRÓPICO CURVA & VOLUME NUDE","Esta pestañina brindará volumen extremo y rizo a tus pestañas. Su cepillo es recto con cerdas más delgadas pero resistentes que darán ese volumen y rizo que siempre has deseado. *Libre de crueldad animal*",http://local.holy.com/tienda/pestanina-tropico-curva-volume-nude/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=336640,http://local.holy.com/wp-content/uploads/2020/09/Pestañina-tropico-curvas-volume-Holy-cosmetics.jpg,"in stock","COP 13000.00",491,,,,no,New,
