ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario; Precio rebajado ; Precio normal ;10%;15%;20%;25%;30%;35%
35358;variation;;BASE PRO MATTE FOUNDATION - GLM683;0;visible;;;35000;;;;;;
104274;simple;;BROCHA PARA MASCARILLA ROSA;1;visible;;; $6.000 ; $5.400 ; $4.590 ; $3.672 ; $2.754 ; $1.928 ; $1.253 
35361;variation;;BASE PRO MATTE FOUNDATION - GLM677;0;visible;;;35000;;;;;;
119129;simple;;BROCHAS BASIC ROSE;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
119028;simple;;BROCHAS BASIC WHITE;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
35415;variation;;ESSENTIAL BRUSH COLLECTION - CBR51;0;visible;;;8000;;;;;;
35416;variation;;ESSENTIAL BRUSH COLLECTION - CBR52;0;visible;;;8000;;;;;;
35417;variation;;ESSENTIAL BRUSH COLLECTION - CBR53;0;visible;;;8000;;;;;;
35418;variation;;ESSENTIAL BRUSH COLLECTION - CBR54;0;visible;;;8000;;;;;;
35419;variation;;ESSENTIAL BRUSH COLLECTION - CBR55;0;visible;;;8000;;;;;;
35120;simple;;BROCHAS BH CHIC BH COSMETICS;1;visible;;; $55.000 ; $49.500 ; $42.075 ; $33.660 ; $25.245 ; $17.672 ; $11.486 
35421;variation;;ESSENTIAL BRUSH COLLECTION - CBR57;0;visible;;;8000;;;;;;
118478;simple;;BROCHAS BH CRYSTAL QUARTZ BH COSMETICS;1;visible;;; $55.000 ; $49.500 ; $42.075 ; $33.660 ; $25.245 ; $17.672 ; $11.486 
102220;simple;;BROCHAS BH GRAY BH COSMETICS;1;visible;;; $50.000 ; $45.000 ; $38.250 ; $30.600 ; $22.950 ; $16.065 ; $10.442 
35424;variation;;ESSENTIAL BRUSH COLLECTION - CBR60;0;visible;;;8000;;;;;;
101277;simple;;BROCHAS BH SIGNATURE ROSE GOLD BLACK BH COSMETICS;1;visible;;; $65.000 ; $58.500 ; $49.725 ; $39.780 ; $29.835 ; $20.885 ; $13.575 
102001;simple;;BROCHAS BH SIGNATURE ROSSE GOLD WHITE;1;visible;;; $65.000 ; $58.500 ; $49.725 ; $39.780 ; $29.835 ; $20.885 ; $13.575 
41443;simple;;BROCHAS CONCHA;1;visible;30;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
96123;simple;;BROCHAS DIAMANTE ARCOIRIS;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
119153;simple;;BROCHAS DIAMANTE GLITTER;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
96122;simple;;BROCHAS DIAMANTE TORNASOL;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
104207;simple;;BROCHAS GALAXY ROSA;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
71584;simple;;BROCHAS MARMOL;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
