id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant,google_product_category 
wc_post_id_340757,BASE LIQUIDA SOFT MATTE BEGE,tono: bege 3,http://local.holy.com/wp-content/uploads/2020/09/Tonos-base-bege-soft-matte-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-soft-matte-bege/?attribute_tono=BEGE+3,"ROSTRO, Bases liquidas",RUBY ROSE,18000COP,in stock,wc_post_id_340749,http://local.holy.com/carrito-de-compras/?add-to-cart=340749&variation_id=340757&attribute_tono=BEGE+3,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-soft-matte-bege-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18000COP,new,published,,tono:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6/BEGE 7:BEGE 3,491
wc_post_id_340758,BASE LIQUIDA SOFT MATTE BEGE,tono: bege 4,http://local.holy.com/wp-content/uploads/2020/09/Tonos-base-bege-soft-matte-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-soft-matte-bege/?attribute_tono=BEGE+4,"ROSTRO, Bases liquidas",RUBY ROSE,18000COP,in stock,wc_post_id_340749,http://local.holy.com/carrito-de-compras/?add-to-cart=340749&variation_id=340758&attribute_tono=BEGE+4,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-soft-matte-bege-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18000COP,new,published,,tono:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6/BEGE 7:BEGE 4,491
wc_post_id_340759,BASE LIQUIDA SOFT MATTE BEGE,tono: bege 5,http://local.holy.com/wp-content/uploads/2020/09/Tonos-base-bege-soft-matte-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-soft-matte-bege/?attribute_tono=BEGE+5,"ROSTRO, Bases liquidas",RUBY ROSE,18000COP,in stock,wc_post_id_340749,http://local.holy.com/carrito-de-compras/?add-to-cart=340749&variation_id=340759&attribute_tono=BEGE+5,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-soft-matte-bege-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18000COP,new,published,,tono:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6/BEGE 7:BEGE 5,491
wc_post_id_340760,BASE LIQUIDA SOFT MATTE BEGE,tono: bege 6,http://local.holy.com/wp-content/uploads/2020/09/Tonos-base-bege-soft-matte-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-soft-matte-bege/?attribute_tono=BEGE+6,"ROSTRO, Bases liquidas",RUBY ROSE,18000COP,in stock,wc_post_id_340749,http://local.holy.com/carrito-de-compras/?add-to-cart=340749&variation_id=340760&attribute_tono=BEGE+6,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-soft-matte-bege-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,18000COP,new,published,,tono:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6/BEGE 7:BEGE 6,491
wc_post_id_340742,BASE LIQUIDA NATURAL LOOK BEGE,tonos: bege 5,http://local.holy.com/wp-content/uploads/2020/09/tonos-bege-base-natural-look-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-natural-look-bege/?attribute_tonos=BEGE+5,"ROSTRO, Bases liquidas",RUBY ROSE,17000COP,in stock,wc_post_id_340736,http://local.holy.com/carrito-de-compras/?add-to-cart=340736&variation_id=340742&attribute_tonos=BEGE+5,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-natural-look-by-ruby-rose-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17000COP,new,staging,,tonos:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6:BEGE 5,491
wc_post_id_340743,BASE LIQUIDA NATURAL LOOK BEGE,tonos: bege 6,http://local.holy.com/wp-content/uploads/2020/09/tonos-bege-base-natural-look-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-natural-look-bege/?attribute_tonos=BEGE+6,"ROSTRO, Bases liquidas",RUBY ROSE,17000COP,in stock,wc_post_id_340736,http://local.holy.com/carrito-de-compras/?add-to-cart=340736&variation_id=340743&attribute_tonos=BEGE+6,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-natural-look-by-ruby-rose-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17000COP,new,staging,,tonos:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6:BEGE 6,491
wc_post_id_340739,BASE LIQUIDA NATURAL LOOK BEGE,tonos: bege 2,http://local.holy.com/wp-content/uploads/2020/09/tonos-bege-base-natural-look-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-natural-look-bege/?attribute_tonos=BEGE+2,"ROSTRO, Bases liquidas",RUBY ROSE,17000COP,in stock,wc_post_id_340736,http://local.holy.com/carrito-de-compras/?add-to-cart=340736&variation_id=340739&attribute_tonos=BEGE+2,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-natural-look-by-ruby-rose-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17000COP,new,staging,,tonos:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6:BEGE 2,491
wc_post_id_340740,BASE LIQUIDA NATURAL LOOK BEGE,tonos: bege 3,http://local.holy.com/wp-content/uploads/2020/09/tonos-bege-base-natural-look-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-natural-look-bege/?attribute_tonos=BEGE+3,"ROSTRO, Bases liquidas",RUBY ROSE,17000COP,in stock,wc_post_id_340736,http://local.holy.com/carrito-de-compras/?add-to-cart=340736&variation_id=340740&attribute_tonos=BEGE+3,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-natural-look-by-ruby-rose-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17000COP,new,staging,,tonos:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6:BEGE 3,491
wc_post_id_340741,BASE LIQUIDA NATURAL LOOK BEGE,tonos: bege 4,http://local.holy.com/wp-content/uploads/2020/09/tonos-bege-base-natural-look-by-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/base-liquida-natural-look-bege/?attribute_tonos=BEGE+4,"ROSTRO, Bases liquidas",RUBY ROSE,17000COP,in stock,wc_post_id_340736,http://local.holy.com/carrito-de-compras/?add-to-cart=340736&variation_id=340741&attribute_tonos=BEGE+4,http://local.holy.com/wp-content/uploads/2020/09/Base-liquida-natural-look-by-ruby-rose-Holy-cosmetics.jpg,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17000COP,new,staging,,tonos:BEGE 2/BEGE 3/BEGE 4/BEGE 5/BEGE 6:BEGE 4,491
wc_post_id_340724,POLVO TRANSLUCIDO FEELS,"Polvo Translucido � Feels Ruby rose 
 
 
  Modo de uso:-Est� formulado especialmente para regular el exceso de grasa, mantiene el maquillaje en perfecto estado durante m�s tiempo, y esta recomendado para todo tipo de pieles. 
-Ayuda a neutralizar el enrojecimiento en la piel producto de acn� o ros�cea, y los matices rosados, as� como neutraliza las manchas oscuras de ojeras muy pronunciadas. 
 
  �Precauciones y advertencias: 
-Si observa alguna reacci�n desfavorable suspenda su uso. 
-Mant�ngase fuera del alcance de los ni�os. 
-No aplicar sobre la piel herida, lastimada o con alg�n tipo de alergia. 
-Uso externo �nicamente. 
Peso neto: 8,5gr",http://local.holy.com/wp-content/uploads/2020/09/Polvo-translucido-feels-By-ruby-rose-Holy-cosmetics.jpg,http://local.holy.com/tienda/polvo-translucido-feels/,"Polvos sueltos, ROSTRO",RUBY ROSE,16000COP,in stock,wc_post_id_340724,http://local.holy.com/carrito-de-compras/?add-to-cart=340724,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,16000COP,new,published,,,491
