id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_378244,"PESTAÑINA TRÓPICO LENGTH & VOLUME (Longitud y volumen)","Precauciones y advertencias: 
-Si observa alguna reacción desfavorable suspenda su uso. 
-Manténgase fuera del alcance de los niños. 
-No aplicar sobre los ojos heridos, lastimados o con algún tipo de alergia. 
-Uso externo unicamente. 
 
Contenido: 5.8Ml",https://www.holycosmetics.com.co/wp-content/uploads/2021/11/pestañina-tropico-length-y-volume-web-Holy-cosmetics.jpg,https://www.holycosmetics.com.co/tienda/pestanina-tropico-length-volume-longitud-y-volumen/,"OJOS, Pestañinas","RUBY ROSE",13000COP,out of stock,wc_post_id_378244,,"https://www.holycosmetics.com.co/wp-content/uploads/2021/11/cepillo-pestañina-tropico-length-y-volume-web-Holy-cosmetics.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,11050COP,new,published,,,,,,,
2737_313123,"LAMPARA PARA UÑAS 120w","Pantalla táctil LCD grande y 4 temporizadores: La pantalla LCD muestra el tiempo de uso, los temporizadores están preestablecidos de 10 segundos a 99 segundos para los estilistas de uñas experimentados para seleccionar rápidamente el tiempo de secado correspondiente para el esmalte de uñas específico. Pantalla táctil adicional sin botón físico prolongará la vida útil del producto. 
 
  10 segundos de secado a alta velocidad, ahorrando un 70% de tiempo de curado. 
  Gran espacio, cura 5 uñas o uñas de los pies a la vez. 
  Sensor automático inteligente, fácil de usar sin pulsar ningún botón. 
  Diseño de ajuste de temporizador, deja de curar una vez más. 
  Pantalla digital LCD, sin necesidad de ver la hora. 
  Fuente de luz dual UV + LED, funciona bien con todos los esmaltes de gel. 
  Cuenta LED de 500.000 horas o hasta 5 años de vida útil, sin necesidad de reemplazar las cuentas. 
  Funciona bien con todos los esmaltes de uñas de gel. 
 
¿Cómo utilizar la lámpara de uñas? 
 
 
  Aplicar una fina capa de los esmaltes de gel según sus instrucciones de uso sobre la uña limpia y seca sin tocar la cutícula o la piel junto a las uñas. 
  Utiliza el temporizador adecuado (10s/30s/60s/99s) según los requisitos de tu esmalte de gel. 
  Nota: El tiempo de secado varía según la marca de esmaltes de gel. Esta lámpara de uñas funciona para todo tipo de esmaltes de gel, no para esmaltes de uñas habituales (uso regular de esmalte secado al aire o ventilador). 
  Consejo: Si el esmalte de gel es un poco pegajoso después del curado, por favor, limpia tus uñas con un limpiador suave o frota alcohol para eliminar los residuos pegajosos que quedan atrás. 
 
Características: 
 
 
 
  Longitud de onda 365nm+405nm 
  Curado de todo tipo de geles 
  Uso Profesional de salón 
  Sensor automático inteligente 
  10S/30s/60s/99sS 
  Secado rápido de 30 segundos 
  Tamaño: 300MM*234MM*125MM 
  Sensor. 
  Lista de paquetes 
 
Contenido: 
 
  1 Lámpara de uñas 120w 
  1 Adaptador 
  1 Manual",https://www.holycosmetics.com.co/wp-content/uploads/2020/07/Lampara-para-uñas-120w-Holy-cosmetics.jpg,https://www.holycosmetics.com.co/tienda/lampara-para-unas-120w/,"UÑAS, Lamparas de uñas","SUN",180000COP,in stock,2737_313123,,"https://www.holycosmetics.com.co/wp-content/uploads/2020/07/Lampara-para-uñas-de-120w-descripcion-Holy-cosmetics.jpg,https://www.holycosmetics.com.co/wp-content/uploads/2020/07/Lampara-de-120w-Holy-cosmetics.jpg,https://www.holycosmetics.com.co/wp-content/uploads/2020/07/Lampara-para-uñas-de-120-w-Holy-cosmetics.jpg,https://www.holycosmetics.com.co/wp-content/uploads/2020/07/Lampara-para-uñas-de-120w-Holy-cosmetics.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,144000COP,new,published,,,,,,,
