"ID","Nombre","Publicado","Visibilidad en el catálogo","Precio rebajado","Precio normal","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Atributo por defecto 2"
"340757","BASE LIQUIDA SOFT MATTE BEGE - BEGE 4","1","visible","","18000","TONO","BEGE 4","","1","","","","","","","","",""
"340760","BASE LIQUIDA SOFT MATTE BEGE - BEGE 5","1","visible","","18000","TONO","BEGE 5","","1","","","","","","","","",""
"340761","BASE LIQUIDA SOFT MATTE BEGE - BEGE 6","1","visible","","18000","TONO","BEGE 6","","1","","","","","","","","",""
"340759","BASE LIQUIDA SOFT MATTE BEGE - BEGE 7","1","visible","","18000","TONO","BEGE 7","","1","","","","","","","","",""
"340782","BASE LIQUIDA SOFT MATTE NUDE","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","NUDE 1, NUDE 2, NUDE 3, NUDE 4","1","1","EDAD","35-45, 45 en adelante","1","1",""
"340784","BASE LIQUIDA SOFT MATTE NUDE - NUDE 1","1","visible","","18000","TONO","NUDE 1","","1","","","","","","","","",""
"340785","BASE LIQUIDA SOFT MATTE NUDE - NUDE 2","1","visible","","18000","TONO","NUDE 2","","1","","","","","","","","",""
"340786","BASE LIQUIDA SOFT MATTE NUDE - NUDE 3","1","visible","","18000","TONO","NUDE 3","","1","","","","","","","","",""
"340787","BASE LIQUIDA SOFT MATTE NUDE - NUDE 4","1","visible","","18000","TONO","NUDE 4","","1","","","","","","","","",""
"244616","BASE TRULY MATTE","1","visible","","","MARCA","L.A COLORS","1","1","TONO","MEDIUM BEIGE CLM355, NUDE CLM353, SAND CLM356, SOFT BEIGE CLM354","1","1","EDAD","35-45, 45 en adelante","1","1",""
"350511","BASE TRULY MATTE - MEDIUM BEIGE CLM355","1","visible","","30000","TONO","MEDIUM BEIGE CLM355","","1","","","","","","","","",""
"357305","BLENDER COLORS ( ESPONJA APLICADORA)","1","visible","","8000","MARCA","SAGUI","1","1","","","","","","","","",""
"363920","BLENDER ESPONJA APLICADORA FEELS","1","visible","","10000","MARCA","RUBY ROSE","1","1","","","","","","","","",""
"182746","BRILLO DE LABIOS CRYSTAL LIP GLAZE","1","visible","","10000","MARCA","BEAUTY TREATS","1","1","","","","","","","","",""
"316357","BRILLO LIP OIL GLOSS","1","visible","","7000","MARCA","MAGIC","","","","","","","","","","",""
"248639","BRILLO LIPGLOSS MAGIC YOUR LIFE","1","visible","2000","4000","MARCA","MAGIC","1","1","","","","","","","","",""
"357384","BROCHA INDIVIDUAL ABANICO MINI BLANCA","1","visible","","6000","MARCA","SAGUI","1","1","","","","","","","","",""
"357383","BROCHA INDIVIDUAL ABANICO MINI NEGRA","1","visible","","6000","MARCA","SAGUI","1","1","","","","","","","","",""
"357378","BROCHA INDIVIDUAL DIFUMINADORA BLANCA","1","visible","","6000","MARCA","SAGUI","1","1","","","","","","","","",""
"357377","BROCHA INDIVIDUAL DIFUMINADORA NEGRA","1","visible","","6000","MARCA","SAGUI","1","1","","","","","","","","",""
"357376","BROCHA INDIVIDUAL DIFUMINADORA ROSA","1","visible","","6000","MARCA","SAGUI","1","1","","","","","","","","",""
"357358","BROCHA INDIVIDUAL MEGA PARA POLVO NEGRA","1","visible","","14000","MARCA","SAGUI","1","1","","","","","","","","",""
"357357","BROCHA INDIVIDUAL MEGA PARA POLVO ROSA","1","visible","","14000","MARCA","SAGUI","1","1","","","","","","","","",""
"359640","BROCHA LENGUA DE GATO PARA BASE PLATA","1","visible","","10000","MARCA","SAGUI","1","1","","","","","","","","",""
"337085","BROCHA PARA MASCARILLA HOLY","1","visible","","","MARCA","HOLY COSMETICS","1","1","COLOR","AZUL, FUCSIA, ROSADO","1","1","EDAD","35-45, 45 en adelante","1","1",""
"365409","BROCHA PARA MASCARILLA HOLY - AZUL","1","visible","","6000","COLOR","AZUL","","1","","","","","","","","",""
"365410","BROCHA PARA MASCARILLA HOLY - FUCSIA","1","visible","","6000","COLOR","FUCSIA","","1","","","","","","","","",""
"365411","BROCHA PARA MASCARILLA HOLY - ROSADO","1","visible","","6000","COLOR","ROSADO","","1","","","","","","","","",""
"310235","BROCHAS BASIC MINI AZUL","1","visible","12600","18000","MARCA","GENERICO","1","1","","","","","","","","",""
"310208","BROCHAS BASIC MINI NUDE","1","visible","12600","18000","MARCA","GENERICO","1","1","","","","","","","","",""
"310163","BROCHAS BASIC MINI ROSA","1","visible","12600","18000","MARCA","GENERICO","1","1","","","","","","","","",""
"330316","BROCHAS CALIFORNIA","1","visible","15000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"346409","BROCHAS CHAMPAGNE ROSE","1","visible","20000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"216773","BROCHAS CONSTELACIÓN","1","visible","30000","45000","MARCA","GENERICO","1","1","EDAD","15-25, 25-35","1","1","","","","",""
"293107","BROCHAS DELUXE HOLY","1","visible","","65000","MARCA","HOLY COSMETICS","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1","","","","",""
"216805","BROCHAS GLAM","1","visible","40000","60000","MARCA","GENERICO","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1","","","","",""
"350934","BROCHAS GOLD","1","visible","20000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"342222","BROCHAS MÁRMOL LUXURY HOLY","1","visible","","40000","MARCA","HOLY COSMETICS","1","1","EDAD","35-45, 45 en adelante","1","1","","","","",""
"209508","BROCHAS NEON","1","visible","30000","40000","MARCA","GENERICO","1","1","EDAD","15-25","1","1","","","","",""
"342243","BROCHAS PROFESSIONAL HOLY","1","visible","","85000","MARCA","HOLY COSMETICS","1","1","EDAD","15-25, 25-35, 35-45","1","1","","","","",""
"210195","BROCHAS ROSALY","1","visible","15000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"223443","BROCHAS ROSE GOLD PARA OJOS HOLY","1","visible","","38000","MARCA","HOLY COSMETICS","1","1","EDAD","35-45, 45 en adelante","1","1","","","","",""
"310606","BROCHAS ROSET","1","visible","","40000","MARCA","GENERICO","1","1","EDAD","45 en adelante","1","1","","","","",""
"346413","BROCHAS SKY","1","visible","21000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"310238","BROCHAS SNOW","1","visible","","45000","MARCA","GENERICO","1","1","EDAD","35-45, 45 en adelante","1","1","","","","",""
"346422","BROCHAS SUNRISE","1","visible","21000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"330315","BROCHAS SUNSHINE","1","visible","15000","30000","MARCA","GENERICO","1","1","","","","","","","","",""
"342256","BROCHAS WHITE ROSE HOLY","1","visible","","45000","MARCA","HOLY COSMETICS","1","1","EDAD","35-45, 45 en adelante","1","1","","","","",""
"336629","BROW SOLUTION -SOMBRA LIQUIDA PARA CEJAS","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","DARK, LIGHT, MEDIUM","1","1","EDAD","35-45, 45 en adelante","1","1",""
"336634","BROW SOLUTION -SOMBRA LIQUIDA PARA CEJAS - DARK","1","visible","","10000","TONO","DARK","","1","","","","","","","","",""
"336635","BROW SOLUTION -SOMBRA LIQUIDA PARA CEJAS - LIGHT","1","visible","","10000","TONO","LIGHT","","1","","","","","","","","",""
"336636","BROW SOLUTION -SOMBRA LIQUIDA PARA CEJAS - MEDIUM","1","visible","","10000","TONO","MEDIUM","","1","","","","","","","","",""
"349310","BUILDER GEL - CLEAR 01","1","visible","","30000","TONO","CLEAR 01","","1","","","","","","","","",""
"349311","BUILDER GEL - NUMBER 004","1","visible","","30000","TONO","NUMBER 004","","1","","","","","","","","",""
"212189","CEPILLO FACIAL EN SILICONA","1","visible","","3000","MARCA","GENERICO","1","1","","","","","","","","",""
"50522","CEPILLO PARA CEJAS O PESTAÑAS GLITTER 10PCS","1","visible","","5000","MARCA","GENERICO","1","1","","","","","","","","",""
