ID,Nombre,Publicado,Visibilidad en el catálogo,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
241015,MASCARILLA REPOLARIZADORA COCO PARADISE,1,visible,MARCA,GOLDEN COCONUT,1,1,EDAD,"25-35,35-45,45 en adelante",1,1
366919,MOLDES GUIAS PARA UÑAS ACRÍLICAS O EN GEL - 500PCS,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"15-25, 25-35",1,1
313080,PALETA COLOR FEST GLITTER,1,visible,MARCA,RUBY ROSE,1,1,EDAD,15-25,1,1
351635,PLANCHA BABYLISS PRO RAPIDO,1,visible,MARCA,BABYLISS,1,1,EDAD,"15-25, 25-35",1,1
351567,PLANCHA BABYLISS SOL GEL PRISMATIC,1,visible,MARCA,BABYLISS,1,1,EDAD,"15-25, 25-35",1,1
119443,PLANCHA BABYLISS-SOL GEL ANCHA,1,visible,MARCA,BABYLISS,1,1,EDAD,"15-25, 25-35",1,1
210205,PLANCHA PARA EL CABELLO VAPOR,1,visible,MARCA,HEALTHY &amp,0,1,EDAD,"15-25, 25-35,35-45",1,1
64700,PLANCHA REMINGTON ACEITE DE ARGAN,1,visible,MARCA,REMINGTON,1,1,EDAD,"25-35, 35-45",1,1
64684,PLANCHA REMINGTON AGUACATE CON MACADAMIA,1,visible,MARCA,REMINGTON,1,1,EDAD,"35-45, 45 en adelante",1,1
252651,PLANCHA REMINGTON CON CERÁMICA Y COCO,1,visible,MARCA,REMINGTON,1,1,EDAD,"15-25, 25-35",1,1
212084,PLANCHA REMINGTON FRIZZ THERAPY,1,visible,MARCA,REMINGTON,1,1,EDAD,15-25,1,1
64737,PLANCHA REMINGTON KERATINA Y ARGAN,1,visible,MARCA,REMINGTON,1,1,EDAD,"15-25, 25-35",1,1
64705,PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO,1,visible,MARCA,REMINGTON,1,1,EDAD,15-25,1,1
367740,PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO ANCHA,1,visible,MARCA,REMINGTON,1,1,EDAD,15-25,1,1
125798,PLANCHA REMINGTON TRIPLE INFUSION,1,visible,MARCA,REMINGTON,1,1,EDAD,25-35,1,1
367979,PROTECTOR SOLAR SPF50+,1,visible,MARCA,DOLCE BELLA,1,1,EDAD,"35-45,45 en adelante",1,1
366914,REMOVEDOR ELECTRICO DE CALLOS PARA PIES,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,45 en adelante,1,1
307981,RODILLO FACIAL DE CUARZO ROSA HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"35-45,45 en adelante",1,1
100790,SAUNA FACIAL,1,visible,MARCA,BENICE,1,1,EDAD,"35-45,45 en adelante",1,1
96099,SAUNA FACIAL PROFESIONAL,1,visible,MARCA,BENICE,1,1,EDAD,"35-45,45 en adelante",1,1
207632,SECADOR PRO TITANIUM,1,visible,MARCA,REMINGTON,1,1,EDAD,"25-35,35-45",1,1
239941,SECADOR REMINGTON POWER SHINE 2200,1,visible,MARCA,REMINGTON,1,1,EDAD,15-25,1,1
285431,SECADOR REMINGTON SHINE THERAPY- AGUACATE CON MACADAMIA,1,visible,MARCA,REMINGTON,1,1,EDAD,"35-45, 45 en adelante",1,1
342765,SERUM GOLD HIDRATANTE Y REPARADOR,1,visible,MARCA,ELOV,1,1,EDAD,"35-45,45 en adelante",1,1
358288,SERUM REPARADOR DE PUNTAS COCO SUNSHINE,1,visible,MARCA,GOLDEN COCONUT,1,1,EDAD,"25-35,35-45,45 en adelante",1,1
252111,SOMBRA COLOR BURST,1,visible,MARCA,OKALAN,1,1,EDAD,"35-45, 45 en adelante",1,1
357339,SOMBRA FANTASTIC,1,visible,MARCA,ANYLADY,1,1,EDAD,"25-35, 35-45",1,1
357327,SOMBRA HOLIDAY,1,visible,MARCA,ANYLADY,1,1,EDAD,15-25,1,1
355942,SOMBRA LA CHICA ENAMORADA,1,visible,MARCA,KARA BEAUTY,1,1,EDAD,15-25,1,1
355936,SOMBRA LA REINA AZTECA,1,visible,MARCA,KARA BEAUTY,1,1,EDAD,"25-35, 35-45, 45 en adelante",1,1
182699,SOMBRAS CRYPTIC,1,visible,MARCA,OKALAN,1,1,EDAD,15-25,1,1
306876,SUERO FACIAL HIDRO -VITAMINA C & E,1,visible,MARCA,DOLCE BELLA,1,1,EDAD,45 en adelante,1,1
